macro_sheet,macro_col_letter,macro_col_index,macro_header,row_role,classification,manifest_candidate_column,unit_in_macro,unit_in_manifest,conversion_needed,conversion_rule_candidate,example_macro_value,example_manifest_value,formula_example,vba_reference_found,confidence,human_check_needed,notes
tm,A,1,No_TableNo,data_starts_row2,EXTERNAL_INPUT_FROM_MANIFEST,(C ExptNo + B TableNo),string id,string,yes,A = ExptNo & '_' & TableNo (e.g. '1.01_9'),9.01_10,T9_1.01,,no,med,no,"tm uses ExptNo_TableNo; manifest key is 'T9_1.01'. ID only, not used in physics."
tm,B,2,P,data_starts_row2,EXTERNAL_INPUT_FROM_MANIFEST,W Pressure_MPa,Pa,MPa,yes,P_Pa = Pressure_MPa*1e6 (or psia*6894.757),13789520,12.065825263044,,no,high,no,Drives all property UDFs. 1750-2500psia=12.07-17.24MPa within SatProp range.
tm,C,3,Ts,data_starts_row2,FORMULA_DERIVED,,K,-,no,"=TsatFromP(P) VBA UDF, array formula",608.621106065763,,"=TsatFromP(テーブル2[[#This Row],[P]])",yes(TsatFromP),high,no,Auto-recalc from SatProp on P. Do not input.
tm,D,4,rhoG,data_starts_row2,FORMULA_DERIVED,,kg/m3,-,no,=RhoGFromP(P),85.1478935815794,,"=RhoGFromP(テーブル2[[#This Row],[P]])",yes(RhoGFromP),high,no,property lookup
tm,E,5,rhoL,data_starts_row2,FORMULA_DERIVED,,kg/m3,-,no,=RhoFFromP(P),624.8662749483865,,"=RhoFFromP(テーブル2[[#This Row],[P]])",yes(RhoFFromP),high,no,property lookup
tm,F,6,HG,data_starts_row2,FORMULA_DERIVED,,J/kg,-,no,=HgFromP(P),2643264.3898665085,,"=HgFromP(テーブル2[[#This Row],[P]])",yes(HgFromP),high,no,property lookup
tm,G,7,HL,data_starts_row2,FORMULA_DERIVED,,J/kg,-,no,=HfFromP(P),1562686.9740257831,,"=HfFromP(テーブル2[[#This Row],[P]])",yes(HfFromP),high,no,property lookup
tm,H,8,muG,data_starts_row2,FORMULA_DERIVED,,Pa.s,-,no,=MuGFromP(P),2.201959404273351e-05,,"=MuGFromP(テーブル2[[#This Row],[P]])",yes(MuGFromP),high,no,property lookup
tm,I,9,muL,data_starts_row2,FORMULA_DERIVED,,Pa.s,-,no,=MuFFromP(P),7.222325269024983e-05,,"=MuFFromP(テーブル2[[#This Row],[P]])",yes(MuFFromP),high,no,property lookup
tm,J,10,KL,data_starts_row2,FORMULA_DERIVED,,W/mK,-,no,=KfFromP(P),0.4911212487937569,,"=KfFromP(テーブル2[[#This Row],[P]])",yes(KfFromP),high,no,property lookup
tm,K,11,CPL,data_starts_row2,FORMULA_DERIVED,,J/kgK,-,no,=CpFFromP(P),7679.75163967041,,"=CpFFromP(テーブル2[[#This Row],[P]])",yes(CpFFromP),high,no,property lookup
