original_target_row,result_row_in_all_rev,No_TableNo,TableNo,ExptNo,Status,exclude_reason,P_Pa_input,P_MPa,G,DH_m,L_DNB_m_input,Tin_K,q_M_Wm2_input,q_M_MWm2_input,F_form_input,x_Mes_input,L_m_input,L_DNB_over_DH_input,L_over_DH_input,q_in_Wm2,q_in_MWm2,q_P_Wm2,q_P_MWm2,q_M_Wm2_result,q_M_MWm2_result,PM_noF1,dq_ratio_pct_result,Tsub_K,Tsub2,Fcorr,F_form_result,x_Mes_result,log_q_low,log_q_high,log_q_in,log_q_P,log_PM_ratio,log_dq_ratio_pct,log_message
226,226,1.01_9,9,1.01,OK,,12065825.263044,12.065825263044,2305.591,0.001905,0.1524,509.7452442783972,3217681.8,3.2176818,1,-0.021,0.1524,80.0,80.0,3731614.4943237305,3.7316144943237304,3765140.723370427,3.765140723370427,3217681.8,3.2176818,1.1701407899844003,0.8984376359801923,88.42251413382883,88.42251413382883,1,1,-0.021,3731591.796875,3731637.191772461,3731614.4943237305,3765140.723370427,1.1701407899844003,0.8984376359801923,
227,227,10.01_9,9,10.01,OK,,12065825.263044,12.065825263044,2590.3993,0.001905,0.1524,490.8751515835332,3974783.4,3.9747833999999997,1,-0.056,0.1524,80.0,80.0,5171086.692810059,5.171086692810059,5166862.274843198,5.166862274843198,3974783.4,3.9747833999999997,1.2999103988517207,-0.08169304089861863,107.29260682869284,107.29260682869284,1,1,-0.056,5171063.995361328,5171109.390258789,5171086.692810059,5166862.274843198,1.2999103988517207,-0.08169304089861863,
228,228,11.01_9,9,11.01,OK,,12065825.263044,12.065825263044,3200.7028,0.001905,0.1524,453.6479059071286,6561547.199999999,6.5615472,1,-0.056,0.1524,80.0,80.0,8784361.64855957,8.784361648559571,8791556.021407397,8.791556021407397,6561547.199999999,6.5615472,1.3398602118426273,0.08189977980934858,144.51985250509745,144.51985250509745,1,1,-0.056,8784316.25366211,8784407.043457031,8784361.64855957,8791556.021407397,1.3398602118426273,0.08189977980934858,
229,229,12.01_9,9,12.01,OK,,12065825.263044,12.065825263044,3200.7028,0.001905,0.1524,488.6622788885654,5205073.499999999,5.205073499999999,1,-0.04,0.1524,80.0,80.0,6423645.401000977,6.423645401000977,6394338.34992166,6.394338349921659,5205073.499999999,5.205073499999999,1.228481855236369,-0.45623706244354906,109.5054795236606,109.5054795236606,1,1,-0.04,6423600.006103516,6423690.7958984375,6423645.401000977,6394338.34992166,1.228481855236369,-0.4562370624435491,
230,230,13.01_9,9,13.01,OK,,12065825.263044,12.065825263044,3200.7028,0.001905,0.1524,487.0115733875194,5394348.899999999,5.3943489,1,-0.03,0.1524,80.0,80.0,6534726.715087891,6.53472671508789,6491389.33889438,6.49138933889438,5394348.899999999,5.3943489,1.2033684619277,-0.6631857472088255,111.15618502470664,111.15618502470664,1,1,-0.03,6534635.925292969,6534817.5048828125,6534726.715087891,6491389.33889438,1.2033684619277,-0.6631857472088255,
231,231,14.01_9,9,14.01,OK,,12065825.263044,12.065825263044,3200.7028,0.001905,0.1524,526.4501263441665,3974783.4,3.9747833999999997,1,0.004,0.1524,80.0,80.0,3887886.428833008,3.8878864288330077,3905968.7638522917,3.9059687638522917,3974783.4,3.9747833999999997,0.9826871984652779,0.4650942189355964,71.71763206805952,71.71763206805952,1,1,0.004,3887841.033935547,3887931.8237304688,3887886.428833008,3905968.7638522917,0.9826871984652779,0.4650942189355964,
232,232,15.01_9,9,15.01,OK,,12065825.263044,12.065825263044,3214.2651,0.001905,0.1524,487.5277735726572,5425894.799999999,5.425894799999999,1,-0.028,0.1524,80.0,80.0,6525193.786621094,6.525193786621093,6468296.785281364,6.468296785281364,5425894.799999999,5.425894799999999,1.1921161437338161,-0.8719587984710649,110.6399848395688,110.6399848395688,1,1,-0.028,6525012.20703125,6525375.3662109375,6525193.786621094,6468296.785281364,1.1921161437338161,-0.8719587984710649,
233,233,16.01_9,9,16.01,OK,,12065825.263044,12.065825263044,3254.952,0.001905,0.1524,458.1207961238007,6624639,6.624639,1,-0.044,0.1524,80.0,80.0,8616491.317749023,8.616491317749023,8637367.130599583,8.637367130599582,6624639,6.624639,1.303824575286228,0.24227741990010776,140.04696228842533,140.04696228842533,1,1,-0.044,8616445.922851562,8616536.712646484,8616491.317749023,8637367.130599583,1.303824575286228,0.24227741990010776,
234,234,17.01_9,9,17.01,OK,,12065825.263044,12.065825263044,3295.6389,0.001905,0.1524,522.6040750322771,4037875.2,4.0378752,1,-0.016,0.1524,80.0,80.0,4252316.665649414,4.252316665649414,4212356.518229787,4.212356518229787,4037875.2,4.0378752,1.0432111716156525,-0.9397265199562487,75.56368337994888,75.56368337994888,1,1,-0.016,4252271.270751953,4252362.060546875,4252316.665649414,4212356.518229787,1.0432111716156525,-0.9397265199562486,
235,235,18.01_9,9,18.01,OK,,12065825.263044,12.065825263044,3811.0063,0.001905,0.1524,535.4768909183393,4053648.15,4.05364815,1,-0.007,0.1524,80.0,80.0,3802680.206298828,3.8026802062988283,3766712.0554482876,3.7667120554482874,4053648.15,4.05364815,0.9292153428383486,-0.9458631517570738,62.690867493886685,62.690867493886685,1,1,-0.007,3802589.4165039062,3802770.99609375,3802680.206298828,3766712.0554482876,0.9292153428383486,-0.9458631517570738,
