scope,model,N,slope,intercept,R2,corr
all_valid277,PM_noF1 ~ Tsub,277,0.004061377547064499,0.8959044594821155,0.38635734552771134,0.6215765001411422
all_valid277,ln(PM_noF1) ~ Tsub,277,0.0036906156706458864,-0.24438272852374682,0.3364180872352634,0.5800155922346083
trim_PM_0p2_3p0,PM_noF1 ~ Tsub,271,0.0038328447952224805,0.9355099837037913,0.3926774351427403,0.6266397969669181
trim_PM_0p2_3p0,ln(PM_noF1) ~ Tsub,271,0.003128965341595841,-0.13306504862619006,0.3744008988293005,0.6118830761095624
Table9,PM_noF1 ~ Tsub,30,0.0017075583382641466,0.9893947629380182,0.783326621170468,0.8850574112284852
Table9,ln(PM_noF1) ~ Tsub,30,0.0013583889670248097,0.005256764093151511,0.7271090373957562,0.852706888324327
Table10,PM_noF1 ~ Tsub,187,0.005398520969847041,0.7408830189785404,0.4182826204204114,0.6467477254853019
Table10,ln(PM_noF1) ~ Tsub,187,0.005254052953777115,-0.45444435215490214,0.39033607917284374,0.6247688205831368
Table11,PM_noF1 ~ Tsub,30,0.0024197396151790927,1.1379864360128558,0.8117507006295408,0.9009720864874454
Table11,ln(PM_noF1) ~ Tsub,30,0.0015598550535325302,0.15683769471517545,0.7608684490151091,0.8722777361684231
Table12,PM_noF1 ~ Tsub,30,0.0028966639218537416,1.3806720402923172,0.736788872763149,0.8583640677260139
Table12,ln(PM_noF1) ~ Tsub,30,0.0015568602077241566,0.34418598651468435,0.6813224474872185,0.825422587216523
