Group,BandID,Band,N,G_min,G_median,G_max,Tsub_min,Tsub_max,PM_mean,PM_std,R2_PM_Tsub,R2_lnPM_Tsub,R2_PM_G,R2_PM_Tsub_G,delta_R2_add_G_after_Tsub
AllTables,all,all valid277,277,520.79232,3051.5175,10565.0317,20.88259301344499,329.9488564372368,1.4493200619775133,0.5720012606424701,0.3863573455277115,0.2823708762326581,0.002926631152527892,0.41498556785798646,0.028628222330274955
AllTables,G_lt_1900,G < 1900,38,520.79232,1315.5431,1898.722,68.13071600661715,299.93981302215946,1.4550359143491154,0.3225979720605418,0.769479186733887,0.7527613453849965,5.2787627962458394e-05,0.7811680162254183,0.011688829491531272
AllTables,G_1900_4200,1900 <= G <= 4200,169,1939.4089,2875.2076,4163.626099999999,21.424642698647403,329.9488564372368,1.4565853942318219,0.44527316452838034,0.4182645290066711,0.3730112200886866,0.026033084973109966,0.45404722781852447,0.035782698811853364
AllTables,G_gt_4200,G > 4200,70,4204.313,5580.88645,10565.0317,20.88259301344499,256.20145638583585,1.4286765828189563,0.8772780972918673,0.669939847433555,0.3738178592235979,0.06469513300417729,0.7005176516595273,0.030577804225972338
AllTables,G_ge_2400,G >= 2400,194,2400.5271,3648.2587,10565.0317,20.88259301344499,329.9488564372368,1.4143666046734296,0.6362790976651667,0.3817599678710476,0.24594514699897052,0.017742378278767235,0.4369618333374674,0.05520186546641981
AllTables,G_2400_4200,2400 <= G <= 4200,124,2400.5271,3146.4536,4163.626099999999,21.424642698647403,329.9488564372368,1.4062883912041806,0.4509274168493907,0.4600841858411516,0.42809725825243294,0.0008818893780530024,0.4657095894592428,0.005625403618091163
AllTables,G_1900_2400,1900 <= G < 2400,45,1939.4089,2197.0926,2386.9648,51.982230400728895,329.9488564372368,1.5951815803524327,0.4022858226455847,0.3485231416730189,0.30258929496814657,0.029378326054413484,0.38547298555490606,0.03694984388188716
AllTables,G_4200_999999,G > 4200,70,4204.313,5580.88645,10565.0317,20.88259301344499,256.20145638583585,1.4286765828189563,0.8772780972918673,0.669939847433555,0.3738178592235979,0.06469513300417729,0.7005176516595273,0.030577804225972338
Table9,all,all valid277,30,2305.591,3200.7028,4109.3769,62.690867493886685,303.8590161919152,1.2670448506222827,0.18180550265781947,0.7833266211704681,0.810234221284234,0.06640700384407239,0.8861985860903022,0.10287196491983408
Table9,G_lt_1900,G < 1900,0,,,,,,,,,,,,
Table9,G_1900_4200,1900 <= G <= 4200,30,2305.591,3200.7028,4109.3769,62.690867493886685,303.8590161919152,1.2670448506222827,0.18180550265781947,0.7833266211704681,0.810234221284234,0.06640700384407239,0.8861985860903022,0.10287196491983408
Table9,G_gt_4200,G > 4200,0,,,,,,,,,,,,
Table9,G_ge_2400,G >= 2400,26,2427.6517,3200.7028,4109.3769,62.690867493886685,303.8590161919152,1.2679920506393858,0.18869357029088787,0.7709145921636931,0.7779764245847601,0.09626735620778826,0.8965289359740067,0.12561434381031367
Table9,G_2400_4200,2400 <= G <= 4200,26,2427.6517,3200.7028,4109.3769,62.690867493886685,303.8590161919152,1.2679920506393858,0.18869357029088787,0.7709145921636931,0.7779764245847601,0.09626735620778826,0.8965289359740067,0.12561434381031367
Table9,G_1900_2400,1900 <= G < 2400,4,2305.591,2342.887325,2373.4025,88.42251413382883,299.4300519373354,1.2608880505111109,0.15081715722471797,0.9997060182551694,0.9993029384026432,0.06126840510374287,0.9999688562802471,0.00026283802507776066
Table9,G_4200_999999,G > 4200,0,,,,,,,,,,,,
Table10,all,all valid277,187,520.79232,3404.1373,10565.0317,20.88259301344499,313.18434543454475,1.3935848969264444,0.6391883038117517,0.4182826204204113,0.2631906319592474,0.014823799150866068,0.4783574137876184,0.06007479336720711
Table10,G_lt_1900,G < 1900,38,520.79232,1315.5431,1898.722,68.13071600661715,299.93981302215946,1.4550359143491154,0.3225979720605418,0.769479186733887,0.7527613453849965,5.2787627962458394e-05,0.7811680162254183,0.011688829491531272
Table10,G_1900_4200,1900 <= G <= 4200,79,1966.5335,3037.9552,4163.626099999999,21.424642698647403,313.18434543454475,1.3329322807930608,0.48724794834005475,0.3788062658206409,0.29812377670462864,0.0006230002636149479,0.3823086716860826,0.0035024058654417045
Table10,G_gt_4200,G > 4200,70,4204.313,5580.88645,10565.0317,20.88259301344499,256.20145638583585,1.4286765828189563,0.8772780972918673,0.669939847433555,0.3738178592235979,0.06469513300417729,0.7005176516595273,0.030577804225972338
Table10,G_ge_2400,G >= 2400,133,2400.5271,4367.060600000001,10565.0317,20.88259301344499,313.18434543454475,1.3688360995752749,0.7179920633585388,0.4515373417765758,0.2492654292162796,0.04741960199051376,0.5100007009041705,0.058463359127594705
Table10,G_2400_4200,2400 <= G <= 4200,63,2400.5271,3146.4536,4163.626099999999,21.424642698647403,313.18434543454475,1.3023466737489622,0.4821812881264625,0.4032769467981925,0.3297947326123366,0.00821666653583819,0.4033172475720964,4.030077390393405e-05
Table10,G_1900_2400,1900 <= G < 2400,16,1966.5335,2210.6549,2386.9648,51.982230400728895,311.55670341994664,1.4533631085291983,0.50412340501974,0.2798545389161422,0.17139657133847308,0.0005114123344396315,0.2824222991738111,0.0025677602576689162
Table10,G_4200_999999,G > 4200,70,4204.313,5580.88645,10565.0317,20.88259301344499,256.20145638583585,1.4286765828189563,0.8772780972918673,0.669939847433555,0.3738178592235979,0.06469513300417729,0.7005176516595273,0.030577804225972338
Table11,all,all valid277,30,2034.345,2902.3322,3878.8178,69.34506290577121,320.93507150086134,1.547814857570624,0.2745306259098315,0.8117507006295408,0.760868449015109,0.015956443167285506,0.8607699820653251,0.04901928143578427
Table11,G_lt_1900,G < 1900,0,,,,,,,,,,,,
Table11,G_1900_4200,1900 <= G <= 4200,30,2034.345,2902.3322,3878.8178,69.34506290577121,320.93507150086134,1.547814857570624,0.2745306259098315,0.8117507006295408,0.760868449015109,0.015956443167285506,0.8607699820653251,0.04901928143578427
Table11,G_gt_4200,G > 4200,0,,,,,,,,,,,,
Table11,G_ge_2400,G >= 2400,18,2454.7763,3044.73635,3878.8178,69.34506290577121,320.93507150086134,1.5390812751364573,0.32587718604456195,0.8611819133796768,0.8343499468581532,0.03934970221980805,0.8737639834298404,0.012582070050163652
Table11,G_2400_4200,2400 <= G <= 4200,18,2454.7763,3044.73635,3878.8178,69.34506290577121,320.93507150086134,1.5390812751364573,0.32587718604456195,0.8611819133796768,0.8343499468581532,0.03934970221980805,0.8737639834298404,0.012582070050163652
Table11,G_1900_2400,1900 <= G < 2400,12,2034.345,2224.2172,2319.1533,85.46162671632271,320.37320398795805,1.5609152312218741,0.18509984774350344,0.8838491635227775,0.8512380238607464,0.02436894110803589,0.9511986481307038,0.06734948460792622
Table11,G_4200_999999,G > 4200,0,,,,,,,,,,,,
Table12,all,all valid277,30,1939.4089,2793.8338,3661.821,72.18730815056142,329.9488564372368,1.8805163398912963,0.35815377305392193,0.7367888727631486,0.6813224474872184,0.01066111986728513,0.7782574496702692,0.04146857690712058
Table12,G_lt_1900,G < 1900,0,,,,,,,,,,,,
Table12,G_1900_4200,1900 <= G <= 4200,30,1939.4089,2793.8338,3661.821,72.18730815056142,329.9488564372368,1.8805163398912963,0.35815377305392193,0.7367888727631486,0.6813224474872184,0.01066111986728513,0.7782574496702692,0.04146857690712058
Table12,G_gt_4200,G > 4200,0,,,,,,,,,,,,
Table12,G_ge_2400,G >= 2400,17,2414.0894,2983.706,3661.821,72.18730815056142,329.9488564372368,1.8623919878855006,0.4233819382083947,0.7568438046192605,0.7166016216090398,0.02675874571369463,0.8031315423136578,0.04628773769439731
Table12,G_2400_4200,2400 <= G <= 4200,17,2414.0894,2983.706,3661.821,72.18730815056142,329.9488564372368,1.8623919878855006,0.4233819382083947,0.7568438046192605,0.7166016216090398,0.02675874571369463,0.8031315423136578,0.04628773769439731
Table12,G_1900_2400,1900 <= G < 2400,13,1939.4089,2183.5303,2210.6549,82.16394550909104,329.9488564372368,1.9042174155911824,0.26442175601449547,0.8004169699356222,0.7795198948386644,0.13216531352787353,0.8333937833339116,0.032976813398289395
Table12,G_4200_999999,G > 4200,0,,,,,,,,,,,,
