ANL_index,ANL_Run,ANL_Table,DIA_in,LENGTH_in,G_1e6,Hsub_BTUlb,qCHF_1e6,ANL_dh_exit_BTUlb,ANL_Note,match_status,TM_EXPT_NO,TM_Exit_Quality,TM_flag
1,8-53,ANL_Table_I_D0p304,0.304,18.0,1.89,299.0,1.7,-86.5,,MATCH_EXACT,381.09,-0.186,
2,8-54,ANL_Table_I_D0p304,0.304,18.0,1.93,223.0,1.42,-49.0,,MATCH_EXACT,385.09,-0.105,
3,8-55,ANL_Table_I_D0p304,0.304,18.0,2.0,184.0,1.29,-31.5,,MATCH_EXACT,395.09,-0.067,
4,8-56,ANL_Table_I_D0p304,0.304,18.0,1.97,155.0,1.14,-17.0,,MATCH_EXACT,392.09,-0.039,
5,8-57,ANL_Table_I_D0p304,0.304,18.0,1.95,118.0,0.995,4.5,,MATCH_EXACT,387.09,0.006,
6,8-58,ANL_Table_I_D0p304,0.304,18.0,1.91,91.0,0.855,15.5,,MATCH_EXACT,383.09,0.032,
7,8-59,ANL_Table_I_D0p304,0.304,18.0,1.88,63.0,0.72,27.0,,MATCH_EXACT,380.09,0.06,
8,8-60,ANL_Table_I_D0p304,0.304,18.0,1.93,27.0,0.58,44.5,,MATCH_EXACT,386.09,0.095,
9,8-61,ANL_Table_I_D0p304,0.304,18.0,1.95,284.0,1.67,-81.5,,MATCH_EXACT,388.09,-0.175,
10,8-62,ANL_Table_I_D0p304,0.304,18.0,1.95,221.0,1.44,-46.5,,MATCH_EXACT,389.09,-0.099,
11,8-63,ANL_Table_I_D0p304,0.304,18.0,1.99,170.0,1.23,-23.5,,MATCH_EXACT,394.09,-0.051,
12,8-64,ANL_Table_I_D0p304,0.304,18.0,1.98,155.0,1.14,-17.5,,MATCH_EXACT,393.09,-0.04,
13,8-65,ANL_Table_I_D0p304,0.304,18.0,1.96,119.0,1.0,2.0,,MATCH_EXACT,390.09,0.004,
14,8-66,ANL_Table_I_D0p304,0.304,18.0,1.92,96.0,0.865,11.0,,MATCH_EXACT,384.09,0.023,
15,8-67,ANL_Table_I_D0p304,0.304,18.0,1.89,62.0,0.715,28.0,,MATCH_EXACT,382.09,0.06,
16,8-68,ANL_Table_I_D0p304,0.304,18.0,1.96,28.0,0.57,41.0,,MATCH_EXACT,391.09,0.088,
17,8-69,ANL_Table_I_D0p304,0.304,18.0,1.48,364.0,1.62,-103.5,Howling in test section,MATCH_EXACT,373.09,-0.226,
