No_TableNo,ExptNo,ExptNo_norm,PM,Tsub,x,G_kg_m2s,G_Mlb_ft2h,LD,old86_member,policy_class,high_PM,deep_subcooled,scope_A_Gle4200,scope_B_Gle4200_LDge40,scope_C_B_xgtm020,scope_D_old86like_lowX,q_M_MWm2_result,q_P_MWm2,dq_ratio_pct_result,log_message
1.01_10,1.01,1.01,1.210743321832274,87.71658286249408,-0.017,2197.0926,1.62,80.0,False,B_main_x>-0.20,False,False,True,True,True,False,3.2176818,3.8957867511312494,-0.7654371621444488,収束 (|dq_ratio|<1%)  (f_solver=0)
10.01_10,10.01,10.01,1.3833732226484476,108.91216556473034,-0.055,2454.7763,1.81,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,4.0378752,5.585888428076245,0.4802508576509365,収束 (|dq_ratio|<1%)  (f_solver=0)
11.01_10,11.01,11.01,1.3017638017483473,112.79283722267274,-0.033,3037.9552,2.24,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,5.3943489,7.022168132021014,-0.1872476552264103,収束 (|dq_ratio|<1%)  (f_solver=0)
119.01_10,119.01,119.01,1.3863277403300396,130.49039377896224,-0.033,1301.9808,0.96,64.51612903225808,False,B_main_x>-0.20,False,False,True,True,True,False,3.26500065,4.52636097329061,-0.1320610891299221,収束 (|dq_ratio|<1%)  (f_solver=0)
12.01_10,12.01,12.01,1.4935344285189145,149.42602102406886,-0.075,3119.329,2.3000000000000003,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,6.6877308,9.988356198466342,0.8977120839052108,収束 (|dq_ratio|<1%)  (f_solver=0)
121.01_10,121.01,121.01,1.4108242043517238,127.72429570818736,-0.053,1413.19166,1.042,64.51612903225808,False,B_main_x>-0.20,False,False,True,True,True,False,3.35963835,4.739859102048288,-0.798986849422719,収束 (|dq_ratio|<1%)  (f_solver=0)
126.01_10,126.01,126.01,1.6117607125194686,126.6305613660565,-0.132,2075.0319,1.53,64.51612903225808,False,B_main_x>-0.20,False,False,True,True,True,False,4.211377649999999,6.787733041852564,0.3937514538124077,収束 (|dq_ratio|<1%)  (f_solver=0)
128.01_10,128.01,128.01,1.0869991005075297,75.46157701295215,-0.009,2156.4057,1.59,64.51612903225808,False,B_main_x>-0.20,False,False,True,True,True,False,3.5015949,3.8062305066417537,0.0915708251838471,収束 (|dq_ratio|<1%)  (f_solver=0)
129.01_10,129.01,129.01,1.649010165697742,124.9664414921158,-0.159,2739.5846,2.02,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,5.173527599999999,8.53119960491784,-0.9152176990799256,収束 (|dq_ratio|<1%)  (f_solver=0)
13.01_10,13.01,13.01,1.3302273036188437,116.64193414098276,-0.036,3119.329,2.3000000000000003,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,5.678262,7.5533791495013425,0.8422884654773496,収束 (|dq_ratio|<1%)  (f_solver=0)
