scope,model,N_fit,R2
A_G<=4200_all,Tsub_linear,117,0.45519616303428223
A_G<=4200_all,Tsub_quadratic,117,0.7202765691478302
A_G<=4200_all,x_linear,117,0.7676969286976507
A_G<=4200_all,Tsub+x,117,0.8394686657751471
A_G<=4200_all,Tsub2+x,117,0.9068745230321194
A_G<=4200_all,Tsub2+x+LD,117,0.9194389039263876
B_G<=4200_LD>=40,Tsub_linear,113,0.5688441099734076
B_G<=4200_LD>=40,Tsub_quadratic,113,0.8639215275964007
B_G<=4200_LD>=40,x_linear,113,0.754138354020243
B_G<=4200_LD>=40,Tsub+x,113,0.8635150598876437
B_G<=4200_LD>=40,Tsub2+x,113,0.9636910246211339
B_G<=4200_LD>=40,Tsub2+x+LD,113,0.9731761567136787
C_B_plus_x>-0.20,Tsub_linear,103,0.5692213202151442
C_B_plus_x>-0.20,Tsub_quadratic,103,0.9004425719419211
C_B_plus_x>-0.20,x_linear,103,0.6904890958904799
C_B_plus_x>-0.20,Tsub+x,103,0.825315185576782
C_B_plus_x>-0.20,Tsub2+x,103,0.946297799916075
C_B_plus_x>-0.20,Tsub2+x+LD,103,0.9620442481864919
D_old86like_window_lowX,Tsub_linear,47,0.900393709063634
D_old86like_window_lowX,Tsub_quadratic,47,0.9273869882969997
D_old86like_window_lowX,x_linear,47,0.8923960692447356
D_old86like_window_lowX,Tsub+x,47,0.9370134387991877
D_old86like_window_lowX,Tsub2+x,47,0.9898782041278114
D_old86like_window_lowX,Tsub2+x+LD,47,0.9898834762052929
Excluded_G>4200,Tsub_linear,70,0.669939847433555
Excluded_G>4200,Tsub_quadratic,70,0.7784275093538682
Excluded_G>4200,x_linear,70,0.9013124864927244
Excluded_G>4200,Tsub+x,70,0.9043273566795892
Excluded_G>4200,Tsub2+x,70,0.9454111613081136
Excluded_G>4200,Tsub2+x+LD,70,0.9548519245050242
Excluded_G<=4200_LD<40,Tsub_linear,4,0.8354133624584249
Excluded_G<=4200_LD<40,Tsub_quadratic,4,0.8911938527130593
Excluded_G<=4200_LD<40,x_linear,4,0.9473217202915392
Excluded_G<=4200_LD<40,Tsub+x,4,0.9540755340656168
Excluded_G<=4200_LD<40,Tsub2+x,4,1.0
Excluded_G<=4200_LD<40,Tsub2+x+LD,4,
