x_bin,LD_bin,N,PM_mean,PM_std,PM_min,PM_max,Tsub_mean,x_mean,G_mean,old86_N,highPM_N
x<=-0.20,40<=LD<60,0,,,,,,,,0,0
x<=-0.20,60<=LD<70,10,2.1049833617412057,0.19198787716768828,1.784314835756727,2.4704383105441856,211.765721707752,-0.3127,2874.1226159999997,5,2
x<=-0.20,70<=LD<80,0,,,,,,,,0,0
x<=-0.20,80<=LD<120,0,,,,,,,,0,0
x<=-0.20,LD>=120,0,,,,,,,,0,0
-0.20<x<=-0.10,40<=LD<60,0,,,,,,,,0,0
-0.20<x<=-0.10,60<=LD<70,13,1.6447743679594982,0.09437075493015752,1.5158593908629203,1.853006511199896,142.6370790090811,-0.14546153846153848,2379.349046923077,6,0
-0.20<x<=-0.10,70<=LD<80,0,,,,,,,,0,0
-0.20<x<=-0.10,80<=LD<120,6,1.717524346592478,0.025879721506757956,1.6849105021926918,1.7542552525649588,266.4726184737321,-0.13283333333333333,1313.2827166666668,0,0
-0.20<x<=-0.10,LD>=120,0,,,,,,,,0,0
-0.10<x<=0,40<=LD<60,0,,,,,,,,0,0
-0.10<x<=0,60<=LD<70,27,1.231709139811808,0.1460936646089042,1.035657655963962,1.5709889842154725,90.85683900628412,-0.04733333333333333,2563.475622962963,18,0
-0.10<x<=0,70<=LD<80,3,1.2559655552476154,0.11579330216734715,1.1688805638214936,1.3873729587911223,107.36194102744442,-0.01933333333333333,1428.5622666666666,0,0
-0.10<x<=0,80<=LD<120,22,1.3321118860083865,0.14716694469820882,1.0857586936402024,1.610872802957489,120.81271174684247,-0.041545454545454545,2711.2270636363637,12,0
-0.10<x<=0,LD>=120,9,1.6292562234291144,0.02673918520441939,1.599512232471623,1.68347241906529,310.75224221365585,-0.06266666666666666,3111.794388888889,0,0
0<x<=0.05,40<=LD<60,0,,,,,,,,0,0
0<x<=0.05,60<=LD<70,5,0.6509432914491147,0.4947346231889068,0.1135786841963328,1.0807270085888994,48.638809077694624,0.0392,2500.6168739999994,1,0
0<x<=0.05,70<=LD<80,16,0.8481898546852253,0.27048702396202456,0.435151931201948,1.18830075807576,65.79718684894385,0.029375000000000002,2063.67347375,4,0
0<x<=0.05,80<=LD<120,2,1.0906641728863509,0.13063652748584614,0.9982901984304464,1.1830381473422555,80.70089313246166,0.001,2473.76352,1,0
0<x<=0.05,LD>=120,0,,,,,,,,0,0
