No_TableNo,ExptNo,ExptNo_norm,PM,Tsub,x,G_kg_m2s,G_Mlb_ft2h,LD,old86_member,policy_class,high_PM,deep_subcooled,scope_A_Gle4200,scope_B_Gle4200_LDge40,scope_C_B_xgtm020,scope_D_old86like_lowX,q_M_MWm2_result,q_P_MWm2,dq_ratio_pct_result,log_message
10.01_10,10.01,10.01,1.3833732226484476,108.91216556473034,-0.055,2454.7763,1.81,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,4.0378752,5.585888428076245,0.4802508576509365,収束 (|dq_ratio|<1%)  (f_solver=0)
11.01_10,11.01,11.01,1.3017638017483473,112.79283722267274,-0.033,3037.9552,2.24,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,5.3943489,7.022168132021014,-0.1872476552264103,収束 (|dq_ratio|<1%)  (f_solver=0)
12.01_10,12.01,12.01,1.4935344285189145,149.42602102406886,-0.075,3119.329,2.3000000000000003,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,6.6877308,9.988356198466342,0.8977120839052108,収束 (|dq_ratio|<1%)  (f_solver=0)
129.01_10,129.01,129.01,1.649010165697742,124.9664414921158,-0.159,2739.5846,2.02,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,5.173527599999999,8.53119960491784,-0.9152176990799256,収束 (|dq_ratio|<1%)  (f_solver=0)
13.01_10,13.01,13.01,1.3302273036188437,116.64193414098276,-0.036,3119.329,2.3000000000000003,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,5.678262,7.5533791495013425,0.8422884654773496,収束 (|dq_ratio|<1%)  (f_solver=0)
131.01_10,131.01,131.01,1.1061261701919292,75.46157701295215,-0.031,2759.92805,2.035,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,4.2271506,4.675761904002514,-0.7744878257475547,収束 (|dq_ratio|<1%)  (f_solver=0)
132.01_10,132.01,132.01,1.134569617305732,76.03807390665122,-0.036,2759.92805,2.035,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,4.1956047,4.76020561884513,0.0445915450897079,収束 (|dq_ratio|<1%)  (f_solver=0)
133.01_10,133.01,133.01,1.1153276507740155,75.46157701295215,-0.032,2766.7092,2.04,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,4.22399601,4.711139546712115,-0.2361246822653695,収束 (|dq_ratio|<1%)  (f_solver=0)
134.01_10,134.01,134.01,1.122218412773748,75.46157701295215,-0.037,2780.2715,2.05,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,4.192450109999999,4.704844708077324,-0.7900050223125996,収束 (|dq_ratio|<1%)  (f_solver=0)
135.01_10,135.01,135.01,1.1122264345889912,73.78437944703035,-0.037,2793.8338,2.06,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,4.126203719999999,4.589272851883431,-0.8262041252486968,収束 (|dq_ratio|<1%)  (f_solver=0)
136.01_10,136.01,136.01,1.1306194974413708,75.46157701295215,-0.039,2793.8338,2.06,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,4.18929552,4.736499195455786,-0.5423637626533144,収束 (|dq_ratio|<1%)  (f_solver=0)
137.01_10,137.01,137.01,1.142431618992315,77.09689440382374,-0.036,2797.90249,2.063,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,4.31232453,4.926535894428173,0.5403904452571562,収束 (|dq_ratio|<1%)  (f_solver=0)
138.01_10,138.01,138.01,1.108769460004808,75.46157701295215,-0.033,2797.90249,2.063,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,4.2586965,4.721912618629366,-0.973253513439539,収束 (|dq_ratio|<1%)  (f_solver=0)
139.01_10,139.01,139.01,1.1335405436405428,76.56717653219835,-0.039,2820.9584,2.08,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,4.28393322,4.856011991118581,-0.7370088098814819,収束 (|dq_ratio|<1%)  (f_solver=0)
14.01_10,14.01,14.01,1.3520841914432156,116.0762191069394,-0.048,3119.329,2.3000000000000003,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,5.5205325,7.464224721598494,0.2070985207298266,収束 (|dq_ratio|<1%)  (f_solver=0)
140.01_10,140.01,140.01,1.1661565613840124,77.67546587553511,-0.045,2834.5207,2.09,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,4.2902424,5.0030943246878925,0.0034585697369281,収束 (|dq_ratio|<1%)  (f_solver=0)
141.01_10,141.01,141.01,1.7657520451572235,128.8193242292905,-0.191,3417.6996,2.52,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,6.2145423,10.973340775941075,0.3136504604718872,収束 (|dq_ratio|<1%)  (f_solver=0)
142.01_10,142.01,142.01,1.1602147592744096,73.21081352671627,-0.059,3451.60535,2.545,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,4.731885,5.490002816189191,-0.0339942427337829,収束 (|dq_ratio|<1%)  (f_solver=0)
144.01_10,144.01,144.01,1.1978769026901763,70.92420249940028,-0.082,4068.69,3.0,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,5.0157981,6.008308692547271,-0.708482856115632,収束 (|dq_ratio|<1%)  (f_solver=0)
15.01_10,15.01,15.01,1.4666255843196985,149.42602102406886,-0.071,3132.8913,2.31,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,6.7508226,9.900929140363626,-0.3910424877074285,収束 (|dq_ratio|<1%)  (f_solver=0)
16.01_10,16.01,16.01,1.1730140094852546,80.4334779483512,-0.027,3146.4536,2.32,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,4.164058799999999,4.884499308720358,0.0653706673227114,収束 (|dq_ratio|<1%)  (f_solver=0)
17.01_10,17.01,17.01,1.1431267000030425,75.46157701295215,-0.026,3146.4536,2.32,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,3.9432375,4.507620070703247,-0.1959385118490891,収束 (|dq_ratio|<1%)  (f_solver=0)
18.01_10,18.01,18.01,0.9982901984304464,66.99992038726407,0.001,3634.6964,2.68,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,4.416425999999999,4.408874787893382,0.0389395330814793,収束 (|dq_ratio|<1%)  (f_solver=0)
