No_TableNo,ExptNo,ExptNo_norm,PM,Tsub,x,G_kg_m2s,G_Mlb_ft2h,LD,old86_member,policy_class,high_PM,deep_subcooled,scope_A_Gle4200,scope_B_Gle4200_LDge40,scope_C_B_xgtm020,scope_D_old86like_lowX,q_M_MWm2_result,q_P_MWm2,dq_ratio_pct_result,log_message,x_band,LD_band,pred_Tsub_poly1,resid_Tsub_poly1,pred_Tsub_poly2,resid_Tsub_poly2,pred_Tsub_poly3,resid_Tsub_poly3,pred_Tsub_saturation,resid_Tsub_saturation,pred_Tsub_saturation_plus_logLD,resid_Tsub_saturation_plus_logLD,pred_Tsub_saturation_plus_x_DIAG_ONLY,resid_Tsub_saturation_plus_x_DIAG_ONLY,pred_Tsub_saturation_plus_logLD_plus_x_DIAG_ONLY,resid_Tsub_saturation_plus_logLD_plus_x_DIAG_ONLY,pred_Tsub_saturation_plus_xband_DIAG_ONLY,resid_Tsub_saturation_plus_xband_DIAG_ONLY
1.01_10,1.01,1.01,1.210743321832274,87.71658286249408,-0.017,2197.0926,1.62,80.0,False,B_main_x>-0.20,False,False,True,True,True,False,3.2176818,3.8957867511312494,-0.7654371621444488,収束 (|dq_ratio|<1%)  (f_solver=0),-0.10<x<=0,80<=LD<120,1.1719726104433015,0.03877071138897259,1.186516628766753,0.024226693065521054,1.1929727000918167,0.017770621740457404,1.2309746743565377,-0.020231352524263668,1.173685765798507,0.03705755603376715,1.1836523833174537,0.027090938514820362,1.188775343373027,0.02196797845924703,1.2246735613662185,-0.013930239533944455
10.01_10,10.01,10.01,1.3833732226484476,108.91216556473034,-0.055,2454.7763,1.81,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,4.0378752,5.585888428076245,0.4802508576509365,収束 (|dq_ratio|<1%)  (f_solver=0),-0.10<x<=0,80<=LD<120,1.2524767738481168,0.1308964488003308,1.3943134851994505,-0.010940262551002888,1.400630950721021,-0.01725772807257342,1.4032319040426675,-0.019858681394219868,1.3666704770228095,0.016702745625638116,1.3756838606087123,0.007689362039735359,1.3760400541066105,0.007333168541837187,1.3518053546394784,0.03156786800896927
11.01_10,11.01,11.01,1.3017638017483473,112.79283722267274,-0.033,3037.9552,2.24,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,5.3943489,7.022168132021014,-0.1872476552264103,収束 (|dq_ratio|<1%)  (f_solver=0),-0.10<x<=0,80<=LD<120,1.267216176376478,0.034547625371869284,1.428653376419442,-0.12688957467109474,1.434501540313247,-0.1327377385648998,1.4289842965196025,-0.1272204947712552,1.3973566181787633,-0.09559281643041606,1.3440369297342618,-0.04227312798591454,1.3392350551380376,-0.03747125338969037,1.3700810133328072,-0.06831721158445991
119.01_10,119.01,119.01,1.3863277403300396,130.49039377896224,-0.033,1301.9808,0.96,64.51612903225808,False,B_main_x>-0.20,False,False,True,True,True,False,3.26500065,4.52636097329061,-0.1320610891299221,収束 (|dq_ratio|<1%)  (f_solver=0),-0.10<x<=0,40<=LD<70,1.3344342852102196,0.05189345511982002,1.5707173950021363,-0.18438965467209667,1.5730811251373813,-0.18675338480734172,1.5283222240424652,-0.14199448371242562,1.5855077286517254,-0.19917998832168582,1.401563511630143,-0.015235771300103451,1.3790639954168382,0.007263744913201364,1.438436453035807,-0.052108712705767335
12.01_10,12.01,12.01,1.4935344285189145,149.42602102406886,-0.075,3119.329,2.3000000000000003,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,6.6877308,9.988356198466342,0.8977120839052108,収束 (|dq_ratio|<1%)  (f_solver=0),-0.10<x<=0,80<=LD<120,1.4063547816328965,0.08717964688601798,1.6963069271496252,-0.20277249863071067,1.6931852825287752,-0.1996508540098607,1.6079312982898681,-0.11439686977095365,1.6304119336137683,-0.13687750509485386,1.5343580289105034,-0.04082360039158894,1.520534059606149,-0.026999631087234466,1.4903186412561626,0.003215787262751846
121.01_10,121.01,121.01,1.4108242043517238,127.72429570818736,-0.053,1413.19166,1.042,64.51612903225808,False,B_main_x>-0.20,False,False,True,True,True,False,3.35963835,4.739859102048288,-0.798986849422719,収束 (|dq_ratio|<1%)  (f_solver=0),-0.10<x<=0,40<=LD<70,1.3239282088162967,0.08689599553542715,1.5500856767454103,-0.13926147239368647,1.5531204742111482,-0.14229626985942434,1.5145677185701807,-0.10374351421845684,1.5676378163798086,-0.15681361202808475,1.4368135663371076,-0.025989361985383708,1.4184846473215926,-0.007660442969868786,1.4291920266486553,-0.018367822296931458
126.01_10,126.01,126.01,1.6117607125194686,126.6305613660565,-0.132,2075.0319,1.53,64.51612903225808,False,B_main_x>-0.20,False,False,True,True,True,False,4.211377649999999,6.787733041852564,0.3937514538124077,収束 (|dq_ratio|<1%)  (f_solver=0),-0.20<x<=-0.10,40<=LD<70,1.3197740334186525,0.2919866791008161,1.5417670058316542,0.06999370668781446,1.545055645278019,0.06670506724144953,1.5089610243670788,0.10279968815238982,1.5604195838213628,0.05134112869810581,1.6032912633053766,0.008469449214091984,1.5972465989466018,0.014514113572866805,1.5989205542570102,0.012840158262458434
128.01_10,128.01,128.01,1.0869991005075297,75.46157701295215,-0.009,2156.4057,1.59,64.51612903225808,False,B_main_x>-0.20,False,False,True,True,True,False,3.5015949,3.8062305066417537,0.0915708251838471,収束 (|dq_ratio|<1%)  (f_solver=0),-0.10<x<=0,40<=LD<70,1.125426166908423,-0.03842706640089322,1.050762102100783,0.03623699840674677,1.0550554938220482,0.03194360668548146,1.1016454790496075,-0.014646378542077843,1.1033880925476125,-0.016388992040082817,1.0775191569993254,0.009479943508204247,1.0773294252646806,0.009669675242849118,1.1244785030870235,-0.03747940257949378
129.01_10,129.01,129.01,1.649010165697742,124.9664414921158,-0.159,2739.5846,2.02,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,5.173527599999999,8.53119960491784,-0.9152176990799256,収束 (|dq_ratio|<1%)  (f_solver=0),-0.20<x<=-0.10,40<=LD<70,1.3134534438817211,0.3355567218160209,1.5289353746124266,0.12007479108531549,1.5325971130913367,0.11641305260640533,1.5002423273770105,0.1487678383207316,1.5492679986143874,0.0997421670833547,1.6563207992987647,-0.007310633601022687,1.6550421234073616,-0.0060319577096195065,1.5930028074429647,0.05600735825477732
13.01_10,13.01,13.01,1.3302273036188437,116.64193414098276,-0.036,3119.329,2.3000000000000003,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,5.678262,7.5533791495013425,0.8422884654773496,収束 (|dq_ratio|<1%)  (f_solver=0),-0.10<x<=0,80<=LD<120,1.2818356530677182,0.04839165055112549,1.461580976761786,-0.13135367314294233,1.4668488930799004,-0.13662158946105674,1.453013543923808,-0.12278624030496443,1.4265182900174285,-0.0962909863985848,1.364789437873315,-0.0345621342544713,1.3586176514651043,-0.0283903478462606,1.386938670132047,-0.0567113665132033
131.01_10,131.01,131.01,1.1061261701919292,75.46157701295215,-0.031,2759.92805,2.035,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,4.2271506,4.675761904002514,-0.7744878257475547,収束 (|dq_ratio|<1%)  (f_solver=0),-0.10<x<=0,40<=LD<70,1.125426166908423,-0.01929999671649374,1.050762102100783,0.055364068091146246,1.0550554938220482,0.05107067636988094,1.1016454790496075,0.004480691142321636,1.1033880925476125,0.002738077644316661,1.1247610644740937,-0.018634894282164582,1.1278601628031841,-0.02173399261125497,1.1244785030870235,-0.018352332895094303
132.01_10,132.01,132.01,1.134569617305732,76.03807390665122,-0.036,2759.92805,2.035,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,4.1956047,4.76020561884513,0.0445915450897079,収束 (|dq_ratio|<1%)  (f_solver=0),-0.10<x<=0,40<=LD<70,1.127615792963281,0.006953824342450954,1.0574045896530173,0.07716502765271471,1.0618419436845947,0.0727276736211373,1.1083071482515408,0.026262469054191273,1.11011109691988,0.024458520385852056,1.1401923964727456,-0.005622779167013592,1.1437962941275286,-0.009226676821796564,1.1297266368327077,0.004842980473024339
133.01_10,133.01,133.01,1.1153276507740155,75.46157701295215,-0.032,2766.7092,2.04,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,4.22399601,4.711139546712115,-0.2361246822653695,収束 (|dq_ratio|<1%)  (f_solver=0),-0.10<x<=0,40<=LD<70,1.125426166908423,-0.010098516134407376,1.050762102100783,0.06456554867323261,1.0550554938220482,0.060272156951967304,1.1016454790496075,0.013682171724407999,1.1033880925476125,0.011939558226403024,1.126908423904765,-0.011580773130749566,1.13015701450948,-0.014829363735464396,1.1244785030870235,-0.00915085231300794
134.01_10,134.01,134.01,1.122218412773748,75.46157701295215,-0.037,2780.2715,2.05,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,4.192450109999999,4.704844708077324,-0.7900050223125996,収束 (|dq_ratio|<1%)  (f_solver=0),-0.10<x<=0,40<=LD<70,1.125426166908423,-0.0032077541346748895,1.050762102100783,0.0714563106729651,1.0550554938220482,0.06716291895169979,1.1016454790496075,0.020572933724140485,1.1033880925476125,0.01883032022613551,1.1376452210581214,-0.015426808284373372,1.141641273040958,-0.019422860267209963,1.1244785030870235,-0.0022600903132754535
135.01_10,135.01,135.01,1.1122264345889912,73.78437944703035,-0.037,2793.8338,2.06,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,4.126203719999999,4.589272851883431,-0.8262041252486968,収束 (|dq_ratio|<1%)  (f_solver=0),-0.10<x<=0,40<=LD<70,1.1190559062363783,-0.00682947164738712,1.031293242442577,0.08093319214641426,1.0351428161557659,0.07708361843322531,1.081915977309195,0.030310457279796088,1.0835831444667898,0.028643290122201348,1.123673575617016,-0.011447141028024799,1.128359911058581,-0.016133476469589736,1.108882985977635,0.003343448611356159
136.01_10,136.01,136.01,1.1306194974413708,75.46157701295215,-0.039,2793.8338,2.06,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,4.18929552,4.736499195455786,-0.5423637626533144,収束 (|dq_ratio|<1%)  (f_solver=0),-0.10<x<=0,40<=LD<70,1.125426166908423,0.005193330532947904,1.050762102100783,0.07985739534058789,1.0550554938220482,0.07556400361932258,1.1016454790496075,0.02897401839176328,1.1033880925476125,0.027231404893758304,1.141939939919464,-0.011320442478093273,1.146234976453549,-0.015615479012178302,1.1244785030870235,0.00614099435434734
137.01_10,137.01,137.01,1.142431618992315,77.09689440382374,-0.036,2797.90249,2.063,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,4.31232453,4.926535894428173,0.5403904452571562,収束 (|dq_ratio|<1%)  (f_solver=0),-0.10<x<=0,40<=LD<70,1.1316373600755527,0.010794258916762223,1.069538554934958,0.07289306405735685,1.0742290090518805,0.06820260994043448,1.1203852769413625,0.02204634205095246,1.1223476596342927,0.020083959358022208,1.1486739756408064,-0.006242356648491487,1.1518255064285612,-0.009393887436246251,1.1392188084107961,0.003212810581518788
138.01_10,138.01,138.01,1.108769460004808,75.46157701295215,-0.033,2797.90249,2.063,64.51612903225808,True,B_main_x>-0.20,False,False,True,True,True,True,4.2586965,4.721912618629366,-0.973253513439539,収束 (|dq_ratio|<1%)  (f_solver=0),-0.10<x<=0,40<=LD<70,1.125426166908423,-0.016656706903614982,1.050762102100783,0.058007357904025,1.0550554938220482,0.0537139661827597,1.1016454790496075,0.007123980955200393,1.1033880925476125,0.005381367457195418,1.1290557833354362,-0.020286323330628298,1.1324538662157755,-0.023684406210967568,1.1244785030870235,-0.015709043082215546
