set,N,sources,flags,D_range,L_range,LD_range,G_raw_range,G_kg_range,Hsub_range,x_range,frac_x_le_0,frac_lowX,frac_Gkg_lt_1900,frac_Gkg_1900_4200,frac_Gkg_gt_4200,note
raw_all,649,"source01, source07, source09, source11","C, DJ, G, H, J, none",0.075 - 0.436,3 - 72,20.98 - 365.3,0.023 - 7.79,31.18 - 1.056e+04,0 - 626.1,-0.82 - 1.069,0.37596302003081666,0.47303543913713403,0.576271186440678,0.29892141756548535,0.12480739599383667,Table10 raw all 649 rows
all_lowX_x_le_005,307,"source01, source09","G, J, none",0.075 - 0.436,3 - 27.4,20.98 - 365.3,0.255 - 7.79,345.7 - 1.056e+04,16.6 - 626.1,-0.82 - 0.05,0.7947882736156352,1.0,0.3745928338762215,0.39087947882736157,0.23452768729641693,current lowX entrance definition; source01+source09 only in raw
all_x_gt_005,342,"source01, source07, source09, source11","C, DJ, H, J, none",0.12 - 0.436,3 - 72,20.98 - 175.2,0.023 - 5.51,31.18 - 7471,0 - 602.5,0.051 - 1.069,0.0,0.0,0.7573099415204678,0.21637426900584794,0.02631578947368421,outside current lowX; cannot evaluate PM unless newly calculated or legacy PM exists
source01_all,388,source01,"G, H, none",0.075 - 0.306,3 - 27.4,20.98 - 365.3,0.0281 - 7.79,38.1 - 1.056e+04,0.7 - 626.1,-0.459 - 1.069,0.38917525773195877,0.4896907216494845,0.41494845360824745,0.37628865979381443,0.20876288659793815,source01 full raw
source01_lowX_x_le_005,190,source01,"G, none",0.075 - 0.306,3 - 27.4,20.98 - 365.3,0.384 - 7.79,520.6 - 1.056e+04,16.6 - 626.1,-0.459 - 0.05,0.7947368421052632,1.0,0.2,0.42105263157894735,0.37894736842105264,source01 lowX raw 190; current_result valid187 after 3 calculation failures
source01_x_gt_005,198,source01,"H, none",0.143 - 0.306,3 - 24.6,20.98 - 108.8,0.0281 - 5.51,38.1 - 7471,0.7 - 602.5,0.051 - 1.069,0.0,0.0,0.6212121212121212,0.3333333333333333,0.045454545454545456,source01 outside lowX; includes legacy high-quality candidates
source09_all_weatherhead_like,232,source09,"DJ, J, none",0.304 - 0.436,18 - 18,41.28 - 59.21,0.126 - 2,170.8 - 2712,0 - 601,-0.82 - 0.72,0.40086206896551724,0.5043103448275862,0.7931034482758621,0.20689655172413793,0.0,source09 Weatherhead/ANL-like raw series
source09_lowX_x_le_005,117,source09,"J, none",0.304 - 0.436,18 - 18,41.28 - 59.21,0.255 - 2,345.7 - 2712,61.5 - 601,-0.82 - 0.048,0.7948717948717948,1.0,0.6581196581196581,0.3418803418803419,0.0,source09 lowX raw; not in current main280
source09_x_gt_005,115,source09,"DJ, J, none",0.304 - 0.436,18 - 18,41.28 - 59.21,0.126 - 1.96,170.8 - 2657,0 - 525,0.053 - 0.72,0.0,0.0,0.9304347826086956,0.06956521739130435,0.0,source09 outside lowX
x_gt_005_Gkg_lt1900,259,"source01, source07, source09, source11","C, DJ, H, J, none",0.12 - 0.436,3 - 72,20.98 - 175.2,0.023 - 1.4,31.18 - 1898,0 - 602.5,0.053 - 1.069,0.0,0.0,1.0,0.0,0.0,quality above 0.05 but low G: do not automatically treat as annular/dryout
x_gt_005_Gkg_1900_4200,74,"source01, source09","J, none",0.18 - 0.436,11.62 - 23.25,41.28 - 75.98,1.44 - 3.05,1952 - 4135,5.1 - 123.7,0.052 - 0.188,0.0,0.0,0.0,1.0,0.0,quality above 0.05 in broad comparison G band
x_gt_005_Gkg_gt4200,9,source01,none,0.143 - 0.187,3 - 12.5,20.98 - 66.84,3.17 - 5.51,4298 - 7471,0.7 - 91.6,0.051 - 0.112,0.0,0.0,0.0,0.0,1.0,quality above 0.05 and high G
