quality_bin,G_band_kg,N,source_list,flag_list,D_min,D_max,L_min,L_max,LD_min,LD_max,Graw_min,Graw_max,Gkg_min,Gkg_max,Hsub_min,Hsub_max,x_min,x_max,x_mean,frac_x_le_0,frac_x_le_005,frac_Gkg_lt_1900,frac_Gkg_1900_4200,frac_Gkg_gt_4200
x<=0,G<1900,89,"source01, source09","J, none",0.186,0.436,12.0,24.6,41.28440366972477,108.8495575221239,0.258,1.4,349.8010306695013,1898.1451276639605,117.0,602.5,-0.493,-0.003,-0.14744943820224718,1.0,1.0,1.0,0.0,0.0
x<=0,1900<=G<=4200,98,"source01, source09","J, none",0.075,0.436,3.0,27.4,20.97902097902098,365.3333333333333,1.42,3.03,1925.2614866305885,4108.128383444143,78.1,626.1,-0.82,-0.008,-0.11065306122448978,1.0,1.0,0.0,1.0,0.0
x<=0,G>4200,57,source01,"G, none",0.143,0.226,3.0,24.6,20.97902097902098,108.8495575221239,3.45,7.79,4677.571921743332,10561.82181750161,75.3,524.4,-0.459,-0.01,-0.21410526315789474,1.0,1.0,0.0,0.0,1.0
0<x<=0.05,G<1900,26,"source01, source09","J, none",0.187,0.436,12.5,24.6,41.28440366972477,108.8495575221239,0.255,1.34,345.7335768245071,1816.7960507640767,73.0,510.0,0.001,0.049,0.02426923076923077,0.0,1.0,1.0,0.0,0.0
0<x<=0.05,1900<=G<=4200,22,"source01, source09","J, none",0.075,0.436,3.0,23.25,20.97902097902098,80.0,1.44,3.07,1952.3778455972165,4162.361101377399,16.6,166.5,0.001,0.049,0.02809090909090909,0.0,1.0,0.0,1.0,0.0
0<x<=0.05,G>4200,15,source01,"G, none",0.143,0.226,3.0,24.6,20.97902097902098,108.8495575221239,3.1,4.27,4203.035639827342,5789.34263937508,25.1,308.5,0.002,0.05,0.0242,0.0,1.0,0.0,0.0,1.0
0.05<x<=0.15,G<1900,70,"source01, source09","J, none",0.143,0.436,3.0,24.6,20.97902097902098,108.8495575221239,0.147,1.4,199.30523840471585,1898.1451276639605,10.0,525.0,0.053,0.148,0.09385714285714286,0.0,0.0,1.0,0.0,0.0
0.05<x<=0.15,1900<=G<=4200,71,"source01, source09","J, none",0.18,0.436,11.625,23.25,41.28440366972477,75.98039215686275,1.44,3.05,1952.3778455972165,4135.244742410771,5.1,123.7,0.052,0.15,0.08684507042253521,0.0,0.0,0.0,1.0,0.0
0.05<x<=0.15,G>4200,9,source01,none,0.143,0.187,3.0,12.5,20.97902097902098,66.84491978609626,3.17,5.51,4297.942896210539,7470.5568953060165,0.7,91.6,0.051,0.112,0.0801111111111111,0.0,0.0,0.0,0.0,1.0
0.15<x<=0.5,G<1900,127,"source01, source07, source09, source11","C, H, J, none",0.12,0.436,6.0,72.0,41.28440366972477,175.18248175182484,0.052,1.3,70.50253331323282,1762.5633328308206,0.0,504.4,0.152,0.497,0.28355905511811025,0.0,0.0,1.0,0.0,0.0
0.15<x<=0.5,1900<=G<=4200,3,source01,none,0.18,0.187,11.625,12.5,64.58333333333334,66.84491978609626,1.83,1.88,2481.146845446463,2548.937742863033,16.9,20.3,0.154,0.188,0.17633333333333334,0.0,0.0,0.0,1.0,0.0
0.15<x<=0.5,G>4200,0,,,,,,,,,,,,,,,,,,,,,,
x>0.5,G<1900,62,"source01, source07, source09, source11","C, DJ, J, none",0.12,0.436,6.0,72.0,41.28440366972477,175.18248175182484,0.023,0.5,31.18381281162221,677.9089741657002,5.1,602.5,0.501,1.069,0.6881612903225806,0.0,0.0,1.0,0.0,0.0
x>0.5,1900<=G<=4200,0,,,,,,,,,,,,,,,,,,,,,,
x>0.5,G>4200,0,,,,,,,,,,,,,,,,,,,,,,
