ExptNo,Dia_in,Length_in,G_1e6_lb_hr_ft2,InletSubcool_BTUlb,BurnoutHF_1e6_BTU_hr_ft2,ExitQuality,flag,flag_norm,source,L_over_D,G_kg_m2_s,quality_bin,G_band_kg,G_band_raw,lowX_le_005,x_gt_005,x_pos_gt_005,flow_proxy_comment
34.01,0.143,3.0,1.18,52.4,1.23,0.076,,none,source01,20.97902097902098,1599.8651790310523,0.05<x<=0.15,G<1900,1.0<=G<1.6,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
43.01,0.143,3.0,5.23,0.7,1.91,0.065,,none,source01,20.97902097902098,7090.927869773225,0.05<x<=0.15,G>4200,G>4.0,False,True,True,x>0.05 and high G: likely outside lowX target; separate check
48.01,0.18,11.625,1.86,20.3,0.66,0.154,,none,source01,64.58333333333334,2521.8213838964048,0.15<x<=0.5,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
49.01,0.18,11.625,1.86,22.0,0.66,0.15,,none,source01,64.58333333333334,2521.8213838964048,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
50.01,0.18,11.625,1.89,42.2,0.66,0.104,,none,source01,64.58333333333334,2562.4959223463466,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
51.01,0.18,11.625,2.03,20.3,0.658,0.137,,none,source01,64.58333333333334,2752.3104351127427,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
52.01,0.18,11.625,2.51,42.2,0.685,0.061,,none,source01,64.58333333333334,3403.103050311815,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
53.01,0.18,11.625,2.51,18.6,0.535,0.079,,none,source01,64.58333333333334,3403.103050311815,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
54.01,0.18,11.625,2.51,20.3,0.535,0.075,,none,source01,64.58333333333334,3403.103050311815,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
55.01,0.18,11.625,2.51,37.6,0.845,0.107,,none,source01,64.58333333333334,3403.103050311815,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
56.01,0.18,11.625,2.54,43.7,0.852,0.093,,none,source01,64.58333333333334,3443.777588761757,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
57.01,0.18,11.625,2.54,45.2,0.863,0.092,,none,source01,64.58333333333334,3443.777588761757,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
58.01,0.18,11.625,2.54,34.6,0.674,0.073,,none,source01,64.58333333333334,3443.777588761757,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
59.01,0.18,11.625,2.54,36.1,0.681,0.072,,none,source01,64.58333333333334,3443.777588761757,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
60.01,0.18,11.625,2.54,37.6,0.681,0.068,,none,source01,64.58333333333334,3443.777588761757,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
61.01,0.18,11.625,2.57,64.2,0.995,0.077,,none,source01,64.58333333333334,3484.452127211699,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
62.01,0.18,11.625,2.57,67.0,0.99,0.07,,none,source01,64.58333333333334,3484.452127211699,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
63.01,0.18,11.625,2.57,68.4,1.0,0.069,,none,source01,64.58333333333334,3484.452127211699,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
64.01,0.18,11.625,2.6,67.0,0.977,0.065,,none,source01,64.58333333333334,3525.1266656616413,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
65.01,0.18,11.625,2.68,22.0,0.69,0.096,,none,source01,64.58333333333334,3633.5921015281533,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
66.01,0.18,11.625,2.68,22.0,0.735,0.105,,none,source01,64.58333333333334,3633.5921015281533,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
67.01,0.18,11.625,2.71,23.7,0.746,0.102,,none,source01,64.58333333333334,3674.266639978095,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
68.01,0.18,11.625,2.74,33.1,0.805,0.092,,none,source01,64.58333333333334,3714.9411784280373,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
69.01,0.18,11.625,2.88,37.6,0.799,0.074,,none,source01,64.58333333333334,3904.755691194433,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
70.01,0.18,11.625,2.91,39.2,0.84,0.076,,none,source01,64.58333333333334,3945.4302296443752,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
71.01,0.18,11.625,2.94,5.1,0.682,0.118,,none,source01,64.58333333333334,3986.104768094317,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
72.01,0.18,11.625,2.94,40.7,0.85,0.073,,none,source01,64.58333333333334,3986.104768094317,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
73.01,0.18,11.625,2.96,31.6,0.793,0.081,,none,source01,64.58333333333334,4013.221127060945,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
74.01,0.18,11.625,3.0,28.6,0.82,0.091,,none,source01,64.58333333333334,4067.453844994201,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
75.01,0.18,11.625,3.0,30.1,0.82,0.087,,none,source01,64.58333333333334,4067.453844994201,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
76.01,0.18,11.625,3.0,33.1,0.845,0.086,,none,source01,64.58333333333334,4067.453844994201,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
