dataset,y,x,model,N,R2,RMSE,coef
current187_noF1_x<=0.05_allG,PM,Tsub,poly1,187,0.4182826204204114,0.4862062170887928,0.005398521;0.74088302
current187_noF1_x<=0.05_allG,PM,Tsub,poly2,187,0.6960611489133397,0.3514451845178628,-5.2805326e-05;0.022450621;-0.24090373
current187_noF1_x<=0.05_allG,PM,Tsub,poly3,187,0.6961251841981253,0.3514081604949696,-1.0770771e-08;-4.7649875e-05;0.02178348;-0.21875696
current187_noF1_x<=0.05_allG,PM,Tsub,log(PM) linear -> exp,187,0.009546759062266208,0.6344267363874926,0.005254053;-0.45444435
current187_noF1_x<=0.05_allG,PM,Tsub,sat_exp_grid,187,0.6587081662980894,0.37241523294151796,a=0.063958418;b=1.9864605;k=0.016016483;xmin=20.882593
current187_noF1_x<=0.05_allG,PM,x,poly1,187,0.7739614273751342,0.30307894468120455,-4.1458952;0.93582929
current187_noF1_x<=0.05_allG,PM,x,poly2,187,0.789510069861173,0.29246920881873967,-4.3585601;-5.7597553;0.89052871
current187_noF1_x<=0.05_allG,PM,x,poly3,187,0.7938987271403241,0.28940419713020676,-16.482018;-13.664535;-6.8174963;0.89031596
current187_noF1_x<=0.05_allG,PM,x,log(PM) linear -> exp,187,0.5817020589345347,0.41229431998288874,-3.2519604;-0.1782639
current187_noF1_x<=0.05_allG,PM,x,sat_exp_grid,187,0.7730788814984932,0.3036700395765257,a=2.8442199;b=-71.443568;k=0.058939096;xmin=-0.459
current187_noF1_x<=0.05_allG,PM,G_kg_m2s,poly1,187,0.0148237991508674,0.6327343967503328,3.168883e-05;1.2667199
current187_noF1_x<=0.05_allG,PM,G_kg_m2s,poly2,187,0.030336933123985887,0.6277329353054425,1.092406e-08;-8.4826637e-05;1.4925645
current187_noF1_x<=0.05_allG,PM,G_kg_m2s,poly3,187,0.050704237359619264,0.6211053347103732,-5.3106438e-12;9.8615312e-08;-0.00047901148;1.94723
current187_noF1_x<=0.05_allG,PM,G_kg_m2s,log(PM) linear -> exp,187,-0.10542708980584803,0.6702387605945708,-9.1593577e-06;0.21745991
current187_noF1_x<=0.05_allG,PM,G_kg_m2s,sat_exp_grid,187,0.014689117656442652,0.6327776452077006,a=1.2829997;b=10.713892;k=2.9867866e-06;xmin=520.79232
current117_noF1_x<=0.05_G<=4200,PM,Tsub,poly1,117,0.45519616303428223,0.3254833010047825,0.0036828243;0.88213364
current117_noF1_x<=0.05_G<=4200,PM,Tsub,poly2,117,0.7202765691478302,0.23322390153008454,-3.8420954e-05;0.017220006;0.01147996
current117_noF1_x<=0.05_G<=4200,PM,Tsub,poly3,117,0.7213350962832501,0.2327822012672842,3.1866438e-08;-5.4137801e-05;0.019353297;-0.067539656
current117_noF1_x<=0.05_G<=4200,PM,Tsub,log(PM) linear -> exp,117,0.26729982730246693,0.37746073397523827,0.0033090331;-0.19772533
current117_noF1_x<=0.05_G<=4200,PM,Tsub,sat_exp_grid,117,0.7024097252140391,0.24055700071981048,a=0.17798443;b=1.6659676;k=0.016046239;xmin=21.424643
current117_noF1_x<=0.05_G<=4200,PM,x,poly1,117,0.7676969286976507,0.21253776481872402,-3.8918902;1.0815962
current117_noF1_x<=0.05_G<=4200,PM,x,poly2,117,0.8111916741355935,0.19161045573407037,-6.5770633;-5.8483629;1.0369023
current117_noF1_x<=0.05_G<=4200,PM,x,poly3,117,0.8182094635698305,0.18801576612126078,-18.64487;-15.691565;-6.6666186;1.0403104
current117_noF1_x<=0.05_G<=4200,PM,x,log(PM) linear -> exp,117,0.5142571514583154,0.307334872099378,-3.0477239;0.015075687
current117_noF1_x<=0.05_G<=4200,PM,x,sat_exp_grid,117,0.7661588082664353,0.21324022934153383,a=2.8679108;b=-66.785013;k=0.059288538;xmin=-0.457
current117_noF1_x<=0.05_G<=4200,PM,G_kg_m2s,poly1,117,0.014267097473272483,0.4378126034732946,-5.6625479e-05;1.5123253
current117_noF1_x<=0.05_G<=4200,PM,G_kg_m2s,poly2,117,0.015290394812668473,0.4375852960541766,1.6972586e-08;-0.00013962858;1.5991116
current117_noF1_x<=0.05_G<=4200,PM,G_kg_m2s,poly3,117,0.015297413721832687,0.4375837365198218,1.4419593e-12;6.3785442e-09;-0.00011608346;1.5838397
current117_noF1_x<=0.05_G<=4200,PM,G_kg_m2s,log(PM) linear -> exp,117,-0.053386248274287285,0.4525873961092298,-0.00010266893;0.49630908
current117_noF1_x<=0.05_G<=4200,PM,G_kg_m2s,sat_exp_grid,117,0.01500612449930716,0.43764845352330634,a=1.5206404;b=-0.3008872;k=0.00037979343;xmin=520.79232
current70_noF1_x<=0.05_G>4200,PM,Tsub,poly1,70,0.669939847433555,0.500390850343864,0.011270938;0.29712823
current70_noF1_x<=0.05_G>4200,PM,Tsub,poly2,70,0.7784275093538682,0.4099876094163535,-7.212239e-05;0.028926109;-0.45988698
current70_noF1_x<=0.05_G>4200,PM,Tsub,poly3,70,0.7787267077476462,0.40971070438944357,6.2914734e-08;-9.669719e-05;0.031583314;-0.53119574
current70_noF1_x<=0.05_G>4200,PM,Tsub,log(PM) linear -> exp,70,0.028359237278985816,0.8585501631577952,0.010588679;-0.98615944
current70_noF1_x<=0.05_G>4200,PM,Tsub,sat_exp_grid,70,0.774647932136094,0.41346960174021646,a=0.011253965;b=2.6333989;k=0.013251689;xmin=20.882593
current70_noF1_x<=0.05_G>4200,PM,x,poly1,70,0.9013124864927244,0.27361752826891317,-5.0569912;0.56906032
current70_noF1_x<=0.05_G>4200,PM,x,poly2,70,0.9113723407818276,0.2592969757659299,-4.2199533;-6.7624612;0.51392085
current70_noF1_x<=0.05_G>4200,PM,x,poly3,70,0.9119274875610303,0.2584836066297624,7.3842167;0.31522965;-6.1575473;0.5140666
current70_noF1_x<=0.05_G>4200,PM,x,log(PM) linear -> exp,70,0.6614657668382156,0.5067737462642017,-4.4377087;-0.67745374
current70_noF1_x<=0.05_G>4200,PM,x,sat_exp_grid,70,0.9005890168190538,0.27461863015459415,a=2.8953348;b=-87.071671;k=0.058939096;xmin=-0.459
current70_noF1_x<=0.05_G>4200,PM,G_kg_m2s,poly1,70,0.06469513300417673,0.8423438494204392,0.00011010228;0.70526572
current70_noF1_x<=0.05_G>4200,PM,G_kg_m2s,poly2,70,0.13635688358107279,0.8094312547814466,-7.3896355e-08;0.0012144856;-3.0616744
current70_noF1_x<=0.05_G>4200,PM,G_kg_m2s,poly3,70,0.15578546229438872,0.800274954311704,2.4337041e-11;-6.1317481e-07;0.005019004;-11.617846
current70_noF1_x<=0.05_G>4200,PM,G_kg_m2s,log(PM) linear -> exp,70,-0.08711399700764133,0.9081348782532144,0.00010570174;-0.61760444
current70_noF1_x<=0.05_G>4200,PM,G_kg_m2s,sat_exp_grid,70,0.1758378599127015,0.7907134789712355,a=0.044464422;b=1.6322415;k=0.0018631753;xmin=4204.313
current47_overlap_old86_noF1,PM,Tsub,poly1,47,0.8978821818032425,0.13399532959236637,0.0093789308;0.37445809
current47_overlap_old86_noF1,PM,Tsub,poly2,47,0.9232197767221844,0.1161886171878862,-2.2977639e-05;0.015150317;0.071723721
current47_overlap_old86_noF1,PM,Tsub,poly3,47,0.9299039201115543,0.11101604799732122,1.8182934e-07;-9.5933536e-05;0.023544374;-0.20461342
current47_overlap_old86_noF1,PM,Tsub,log(PM) linear -> exp,47,0.6394242215251928,0.25178924324390056,0.0073862045;-0.52558981
current47_overlap_old86_noF1,PM,Tsub,sat_exp_grid,47,0.9262855558135475,0.11384532343852752,a=0.52356564;b=2.6802946;k=0.0056733986;xmin=33.601098
current47_overlap_old86_noF1,PM,x,poly1,47,0.8866446318431344,0.14117569796369353,-3.8650933;0.981506
current47_overlap_old86_noF1,PM,x,poly2,47,0.936084871575335,0.10600851006163949,-6.3462785;-6.040542;0.91552828
current47_overlap_old86_noF1,PM,x,poly3,47,0.9534696577909381,0.09044967713000657,-24.940637;-20.231613;-7.6130865;0.90078462
current47_overlap_old86_noF1,PM,x,log(PM) linear -> exp,47,0.6555932714730064,0.24607908959674393,-2.9000332;-0.036162375
current47_overlap_old86_noF1,PM,x,sat_exp_grid,47,0.8848458592489655,0.1422914081222994,a=2.7535442;b=-66.235091;k=0.059288538;xmin=-0.457
current47_overlap_old86_noF1,PM,G_kg_m2s,poly1,47,0.13216380541355777,0.3906229695391634,0.00038263756;0.056222225
current47_overlap_old86_noF1,PM,G_kg_m2s,poly2,47,0.13510185344409498,0.3899611844834916,1.3340565e-07;-0.00048288487;1.4387983
current47_overlap_old86_noF1,PM,G_kg_m2s,poly3,47,0.3251963633911563,0.34445112287475277,-2.1720901e-09;2.1257856e-05;-0.068220407;73.040458
current47_overlap_old86_noF1,PM,G_kg_m2s,log(PM) linear -> exp,47,0.10775024828903412,0.3960792724113641,0.00028938666;-0.73777446
current47_overlap_old86_noF1,PM,G_kg_m2s,sat_exp_grid,47,0.13200266750890555,0.3906592328603126,a=0.98879112;b=21.053804;k=1.8433452e-05;xmin=2441.214
current140_not_old86_noF1,PM,Tsub,poly1,140,0.3746862002324719,0.5470904178967465,0.0050844907;0.7743858
current140_not_old86_noF1,PM,Tsub,poly2,140,0.6744564139944507,0.39474321449354977,-5.5286099e-05;0.023150308;-0.25194155
current140_not_old86_noF1,PM,Tsub,poly3,140,0.6747342358313765,0.39457473982894936,2.2917581e-08;-6.6321848e-05;0.024579715;-0.29780704
current140_not_old86_noF1,PM,Tsub,log(PM) linear -> exp,140,-0.043259178630054906,0.7066530031543564,0.0052770548;-0.50314384
current140_not_old86_noF1,PM,Tsub,sat_exp_grid,140,0.6367334862413521,0.4169872584923055,a=0.04103132;b=1.972938;k=0.017988184;xmin=20.882593
current140_not_old86_noF1,PM,x,poly1,140,0.7589166214349717,0.3396985838332354,-4.2100722;0.92017465
current140_not_old86_noF1,PM,x,poly2,140,0.7714737785247441,0.3307334500702115,-4.0477832;-5.7218227;0.87948852
current140_not_old86_noF1,PM,x,poly3,140,0.7742011158060376,0.32875396358363584,-13.688564;-11.810084;-6.6040864;0.88249296
current140_not_old86_noF1,PM,x,log(PM) linear -> exp,140,0.5602439317100891,0.4587921963784762,-3.3907922;-0.23343551
current140_not_old86_noF1,PM,x,sat_exp_grid,140,0.7581361202461285,0.3402480221743007,a=2.8579869;b=-72.546685;k=0.058939096;xmin=-0.459
current140_not_old86_noF1,PM,G_kg_m2s,poly1,140,0.010424069921276868,0.688231685779484,2.5486456e-05;1.3206992
current140_not_old86_noF1,PM,G_kg_m2s,poly2,140,0.027391677746970045,0.6823058462295672,1.11658e-08;-9.2326348e-05;1.5343593
current140_not_old86_noF1,PM,G_kg_m2s,poly3,140,0.04881910053826566,0.6747480873136075,-5.9760604e-12;1.1174837e-07;-0.00055196403;2.0361651
current140_not_old86_noF1,PM,G_kg_m2s,log(PM) linear -> exp,140,-0.12907564853582154,0.7351426546091829,-1.1009015e-05;0.22373896
current140_not_old86_noF1,PM,G_kg_m2s,sat_exp_grid,140,0.010308366386564072,0.68827191943352,a=1.3339769;b=8.6066477;k=2.9867866e-06;xmin=520.79232
old86_noF1_all,PM,Tsub,poly1,86,0.8721476288062124,0.10278550214907192,0.0052328377;0.28617482
old86_noF1_all,PM,Tsub,poly2,86,0.9672479018483625,0.05202319631702142,-2.4080449e-05;0.0095103125;0.17822137
old86_noF1_all,PM,Tsub,poly3,86,0.976387363695917,0.04417226890943462,1.1711461e-07;-6.3365217e-05;0.012715196;0.13215807
old86_noF1_all,PM,Tsub,log(PM) linear -> exp,86,0.1060072699469986,0.2717968768073383,0.0094110449;-1.2157854
old86_noF1_all,PM,Tsub,sat_exp_grid,86,0.9769648856658733,0.04362873837266417,a=0.19835208;b=0.95662404;k=0.013475732;xmin=5.8532518
old86_noF1_all,PM,x,poly1,86,0.7590291402695847,0.1411106303822658,-2.2373271;0.59508233
old86_noF1_all,PM,x,poly2,86,0.904839651522563,0.08867587454677389,-5.5218184;-3.2475756;0.65972533
old86_noF1_all,PM,x,poly3,86,0.9202727436557407,0.08116725857348543,-12.172927;-10.183847;-3.1666504;0.69000274
old86_noF1_all,PM,x,log(PM) linear -> exp,86,-0.15084393254204786,0.3083796311251693,-4.0057644;-0.66014489
old86_noF1_all,PM,x,sat_exp_grid,86,0.7560299877534957,0.14198605489687158,a=1.6219565;b=-45.033781;k=0.050505051;xmin=-0.457
old86_noF1_all,PM,G_kg_m2s,poly1,86,0.07267802152646241,0.27681699191163484,-0.00018117684;1.2074761
old86_noF1_all,PM,G_kg_m2s,poly2,86,0.07681226535518204,0.2761992413572194,-1.0315084e-07;0.00050274411;0.092704788
old86_noF1_all,PM,G_kg_m2s,poly3,86,0.09875318875296901,0.2728973629203841,-5.1478477e-10;5.0320065e-06;-0.01638754;18.402276
old86_noF1_all,PM,G_kg_m2s,log(PM) linear -> exp,86,0.0041230185509116835,0.28686681761959437,-0.00042690731;0.77699526
old86_noF1_all,PM,G_kg_m2s,sat_exp_grid,86,0.0725440259846244,0.2768369908461185,a=0.76608493;b=-9.9772398;k=1.8436578e-05;xmin=2440.8
old86_noF1_x<=0.05,PM,Tsub,poly1,47,0.7975355424557458,0.06654047002448302,0.0031162627;0.53511862
old86_noF1_x<=0.05,PM,Tsub,poly2,47,0.8740602149801306,0.052479893010426076,-1.4068419e-05;0.006658336;0.3487161
old86_noF1_x<=0.05,PM,Tsub,poly3,47,0.8778489754578642,0.051684464883870185,4.8200951e-08;-3.3451091e-05;0.0088946423;0.27483788
old86_noF1_x<=0.05,PM,Tsub,log(PM) linear -> exp,47,0.699249757039901,0.08109880606777864,0.003716751;-0.55423344
old86_noF1_x<=0.05,PM,Tsub,sat_exp_grid,47,0.8778205375387491,0.05169048085099601,a=0.53734849;b=0.69649026;k=0.010132679;xmin=33.8484
old86_noF1_x<=0.05,PM,x,poly1,47,0.6110825830653759,0.09222319490619385,-1.1316385;0.74981808
old86_noF1_x<=0.05,PM,x,poly2,47,0.6786135862270589,0.08383497206103037,-2.6157908;-2.0283087;0.72262358
old86_noF1_x<=0.05,PM,x,poly3,47,0.7136391425215249,0.07913494307134947,-12.484983;-9.5666223;-2.8155055;0.71524308
old86_noF1_x<=0.05,PM,x,log(PM) linear -> exp,47,0.5530087540979424,0.09886918997911395,-1.3318843;-0.29675581
old86_noF1_x<=0.05,PM,x,sat_exp_grid,47,0.6093428595557518,0.09242923329429505,a=1.2684669;b=-19.384641;k=0.059288538;xmin=-0.457
old86_noF1_x<=0.05,PM,G_kg_m2s,poly1,47,0.05453718797602758,0.143791658481026,8.6700965e-05;0.56040917
old86_noF1_x<=0.05,PM,G_kg_m2s,poly2,47,0.07979179696214156,0.1418582236691064,1.3798599e-07;-0.00080838641;1.9899695
old86_noF1_x<=0.05,PM,G_kg_m2s,poly3,47,0.310809852847174,0.1227668173498376,-8.4490826e-10;8.3536653e-06;-0.027148261;29.827701
