group,N,PM_noF1_current_mean,PM_noF1_current_sd,PM_noF1_current_min,PM_noF1_current_p25,PM_noF1_current_median,PM_noF1_current_p75,PM_noF1_current_max,Tsub_mean,Tsub_sd,Tsub_min,Tsub_p25,Tsub_median,Tsub_p75,Tsub_max,x_mean,x_sd,x_min,x_p25,x_median,x_p75,x_max,G_kg_m2s_mean,G_kg_m2s_sd,G_kg_m2s_min,G_kg_m2s_p25,G_kg_m2s_median,G_kg_m2s_p75,G_kg_m2s_max,N_x_le_-0.30,N_x_le_-0.20,N_x_le_0,N_0_lt_x_le_0.05,N_x_gt_0.05,PM_noF1_old86_mean,PM_noF1_old86_sd,PM_noF1_old86_min,PM_noF1_old86_p25,PM_noF1_old86_median,PM_noF1_old86_p75,PM_noF1_old86_max
current187_all,187,1.3935848969264444,0.6391883038117517,0.0735487784385007,1.0698289812317205,1.353475742387643,1.6967578958644078,3.6053610399898135,120.90383303010442,76.57534053420035,20.88259301344499,70.0937136079076,103.58496549932198,149.42602102406886,313.18434543454475,-0.11041176470588236,0.13563449647873918,-0.459,-0.161,-0.056,-0.018,0.05,4003.4604137967913,2455.853015603202,520.79232,2237.7795,3404.1373,5262.1724,10565.0317,28,41,151,36,0,,,,,,,
current_overlap47,47,1.2866838914444743,0.4238468020960428,0.435151931201948,1.1104979472968997,1.1730140094852546,1.4800800064193065,2.4704383105441856,97.26330427188616,42.82183315877922,33.60109799971622,75.46157701295215,77.67546587553511,116.35907662396107,250.73285002387016,-0.07895744680851065,0.10325800473167002,-0.457,-0.0875,-0.039,-0.027,0.049,3215.736753829787,402.696244449929,2441.214,2827.7395500000002,3146.4536,3532.97915,4068.69,3,5,41,6,0,,,,,,,
current_only140,140,1.429473091623963,0.6943312618049104,0.0735487784385007,1.0023423207197903,1.4143941815841177,1.7333298434494007,3.6053610399898135,128.8402962560777,83.58976631485119,20.88259301344499,68.13071600661715,107.79286038344333,166.9908837825169,313.18434543454475,-0.12097142857142858,0.14367268670286404,-0.459,-0.202,-0.0745,-0.0115,0.05,4267.910499642858,2781.479877483761,520.79232,1861.425675,4183.96955,5577.4958750000005,10565.0317,25,36,110,30,0,,,,,,,
yellow_candidate_PM>=2.2_Tsub60-200,19,2.528998322321149,0.37318023728269295,2.2099410980435703,2.250593206943819,2.3619771871542,2.791635573683235,3.6053610399898135,144.1196539867512,36.780895351527434,69.83293932221864,125.51485607242532,151.12937494316725,170.60553217374678,194.2074052316925,-0.3522631578947369,0.05982181143033883,-0.459,-0.3715,-0.336,-0.334,-0.256,7033.837063157895,2623.5299044987287,2305.591,5268.95355,7011.7091,9263.0509,10524.3448,16,19,19,0,0,,,,,,,
high_PM_cluster_PM>=2.2,26,2.4934608203042288,0.3295134003373567,2.2099410980435703,2.250230374056862,2.3778871069319303,2.5903524080448754,3.6053610399898135,168.51751053598062,52.114816292864575,69.83293932221864,133.55569942995038,169.20243610132238,206.3578735716894,256.20145638583585,-0.37376923076923074,0.0641818090691172,-0.459,-0.44375,-0.363,-0.33425000000000005,-0.256,6600.145457692308,2397.538291622835,2305.591,5262.1724,6048.7858,8215.363225000001,10524.3448,23,26,26,0,0,,,,,,,
current_x<=-0.20,41,2.2819558413227927,0.40490762521830925,1.588015902634939,2.137501069429112,2.240059187883798,2.4704383105441856,3.6053610399898135,168.00131446534664,59.21346748712051,69.83293932221864,127.1512248790649,166.72139836705657,211.51032294147768,299.93981302215946,-0.3331951219512195,0.08292352486242825,-0.459,-0.382,-0.335,-0.275,-0.202,5926.460469756097,2692.437247172968,1213.82585,3783.8817,5357.1085,7635.5749,10524.3448,28,41,41,0,0,,,,,,,
current_x>-0.20,146,1.1441108645959632,0.43936083231271433,0.0735487784385007,0.9614544005912022,1.1739228550640672,1.4827258208885838,1.853006511199896,107.67782796952271,75.83692812242383,20.88259301344499,61.89436730825878,81.8434753551922,126.21453139757132,313.18434543454475,-0.04784931506849315,0.06104575361161815,-0.191,-0.08574999999999999,-0.0385,-0.0032500000000000003,0.05,3463.439850136986,2097.0342552376464,520.79232,2078.422475,3044.73635,4367.060600000001,10565.0317,0,0,110,36,0,,,,,,,
old86_all_noF1basis,86,,,,,,,,61.00621584155706,51.60300171434021,5.85325176878905,15.0810456400585,54.929138323716046,80.468481141067,251.090091834417,-0.004616279069767443,0.11259444857328094,-0.457,-0.04725,0.024,0.079,0.137,3323.082976744186,430.24527233887466,2440.8,2895.0600000000004,3403.56,3634.08,4068.0,3,5,41,6,39,0.6054104523866706,0.28914602827446034,0.136490246897863,0.32988136489903974,0.6050369644208344,0.8359126544484757,1.16081559158642
old86_overlap47,47,,,,,,,,97.569035615289,42.83733447456296,33.848400181536,75.772394947606,77.9877505581291,116.675222581288,251.090091834417,-0.07895744680851065,0.10325800473167002,-0.457,-0.0875,-0.039,-0.027,0.049,3215.1914042553194,402.6279520981719,2440.8,2827.26,3145.92,3532.38,4068.0,3,5,41,6,0,0.8391693653054431,0.14947944624001197,0.526675909158106,0.7565022084385411,0.81094972241118,0.9509443448893515,1.16081559158642
old86_only39,39,,,,,,,,16.943330473213468,9.432268976988261,5.85325176878905,10.3181101696835,13.843765034719,23.012932950741,47.7012082859781,0.08497435897435898,0.01942798738050908,0.052,0.073,0.081,0.092,0.137,3453.106153846154,431.367634419055,2752.68,3159.48,3484.92,3742.56,4068.0,0,0,0,0,39,0.32370099322815005,0.10454815341449344,0.136490246897863,0.25139108892101547,0.313513017005973,0.4108470593812185,0.564871426632673
