ExptNo,No_TableNo,PM_noF1_current,Tsub,x,G_kg_m2s,G_band,scope3,yellow_candidate_handregion,high_PM_cluster,old86_member
41.01,41.01_10,3.6053610399898135,123.30541643666328,-0.409,5180.7986,G>4200,current_only,True,True,False
259.01,259.01_10,2.941271632824189,162.25628229717415,-0.459,10524.3448,G>4200,current_only,True,True,False
248.01,248.01_10,2.922337424121136,172.82163664490025,-0.457,7106.6452,G>4200,current_only,True,True,False
255.01,255.01_10,2.899717847195624,170.60553217374678,-0.457,8652.7474,G>4200,current_only,True,True,False
46.01,46.01_10,2.862189847867258,69.83293932221864,-0.275,10144.6004,G>4200,current_only,True,True,False
36.01,36.01_10,2.721081299499212,132.16438099330514,-0.338,2305.591,G<=4200,current_only,True,True,False
38.01,38.01_10,2.601409107771878,86.04557897376492,-0.256,2712.46,G<=4200,current_only,True,True,False
249.01,249.01_10,2.5571823088638674,210.4080296850217,-0.456,7364.3289,G>4200,current_only,False,True,False
234.01,234.01_10,2.4970877438604004,227.8755003580036,-0.457,5574.1053,G>4200,current_only,False,True,False
280.01,280.01_10,2.4936701195505564,226.26818505028052,-0.449,5357.1085,G>4200,current_only,False,True,False
213.01,213.01_10,2.4704383105441856,250.73285002387016,-0.457,3783.8817,G<=4200,current∩old86,False,True,True
44.01,44.01_10,2.4234011937527216,71.4946974008999,-0.257,7635.5749,G>4200,current_only,True,True,False
244.01,244.01_10,2.3937970267096604,137.7296547398861,-0.336,6523.466299999999,G>4200,current_only,True,True,False
258.01,258.01_10,2.3619771871542,122.73516379156324,-0.335,9873.3544,G>4200,current_only,True,True,False
254.01,254.01_10,2.339446636001019,127.72429570818736,-0.333,8408.626,G>4200,current_only,True,True,False
279.01,279.01_10,2.317854111994885,256.20145638583585,-0.428,5357.1085,G>4200,current_only,False,True,False
232.01,232.01_10,2.295350562373408,179.43354523161798,-0.362,5397.7954,G>4200,current_only,True,True,False
246.01,246.01_10,2.272600294731405,151.12937494316725,-0.338,7011.7091,G>4200,current_only,True,True,False
228.01,228.01_10,2.2513188727177327,167.79934002889797,-0.334,5221.4855,G>4200,current_only,True,True,False
245.01,245.01_10,2.2498675411699054,150.5435811843293,-0.334,6984.584500000001,G>4200,current_only,True,True,False
230.01,230.01_10,2.240059187883798,166.72139836705657,-0.336,5316.4216,G>4200,current_only,True,True,False
284.01,284.01_10,2.237871948173272,181.1176701054545,-0.379,10497.2202,G>4200,current_only,True,True,False
272.01,272.01_10,2.2326316911378354,243.26589391747268,-0.396,5262.1724,G>4200,current_only,False,True,False
285.01,285.01_10,2.221968376122025,170.60553217374678,-0.364,10497.2202,G>4200,current_only,True,True,False
273.01,273.01_10,2.210148917856386,228.42993276673863,-0.382,5262.1724,G>4200,current_only,False,True,False
209.01,209.01_10,2.2099410980435703,194.2074052316925,-0.334,3648.2587,G<=4200,current∩old86,True,True,True
