ExptNo,Dia_in,Length_in,G_1e6_lb_hr_ft2,InletSubcool_BTUlb,BurnoutHF_1e6_BTU_hr_ft2,ExitQuality,flag,flag_norm,source,L_over_D,G_kg_m2_s,quality_bin,G_band_kg,G_band_raw,lowX_le_005,x_gt_005,x_pos_gt_005,flow_proxy_comment,ExptNo_norm,old86_member
24.01,0.075,27.4,1.92,619.3,0.785,-0.047,,none,source01,365.3333333333333,2603.170460796289,x<=0,1900<=G<=4200,1.6<=G<=3.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,24.01,False
25.01,0.075,27.4,1.99,622.2,0.808,-0.062,,none,source01,365.3333333333333,2698.0777171794866,x<=0,1900<=G<=4200,1.6<=G<=3.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,25.01,False
26.01,0.075,27.4,2.34,622.2,0.959,-0.05,,none,source01,365.3333333333333,3172.6139990954766,x<=0,1900<=G<=4200,1.6<=G<=3.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,26.01,False
27.01,0.075,27.4,2.42,626.1,0.98,-0.074,,none,source01,365.3333333333333,3281.079434961989,x<=0,1900<=G<=4200,1.6<=G<=3.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,27.01,False
28.01,0.075,27.4,2.83,618.3,1.157,-0.045,,none,source01,365.3333333333333,3836.964793777863,x<=0,1900<=G<=4200,1.6<=G<=3.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,28.01,False
29.01,0.075,27.4,2.89,621.2,1.158,-0.077,,none,source01,365.3333333333333,3918.313870677747,x<=0,1900<=G<=4200,1.6<=G<=3.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,29.01,False
30.01,0.075,27.4,2.9,623.2,1.186,-0.055,,none,source01,365.3333333333333,3931.872050161061,x<=0,1900<=G<=4200,1.6<=G<=3.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,30.01,False
38.01,0.143,3.0,2.0,206.1,2.09,-0.256,,none,source01,20.97902097902098,2711.635896662801,x<=0,1900<=G<=4200,1.6<=G<=3.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,38.01,False
39.01,0.143,3.0,2.9,16.6,1.25,0.042,,none,source01,20.97902097902098,3931.872050161061,0<x<=0.05,1900<=G<=4200,1.6<=G<=3.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,39.01,False
48.01,0.18,11.625,1.86,20.3,0.66,0.154,,none,source01,64.58333333333334,2521.8213838964048,0.15<x<=0.5,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate,48.01,False
49.01,0.18,11.625,1.86,22.0,0.66,0.15,,none,source01,64.58333333333334,2521.8213838964048,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate,49.01,False
50.01,0.18,11.625,1.89,42.2,0.66,0.104,,none,source01,64.58333333333334,2562.4959223463466,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate,50.01,False
71.01,0.18,11.625,2.94,5.1,0.682,0.118,,none,source01,64.58333333333334,3986.104768094317,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate,71.01,False
189.01,0.187,12.5,1.83,16.9,0.709,0.187,,none,source01,66.84491978609626,2481.146845446463,0.15<x<=0.5,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate,189.01,False
190.01,0.187,12.5,1.88,18.6,0.743,0.188,,none,source01,66.84491978609626,2548.937742863033,0.15<x<=0.5,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate,190.01,False
191.01,0.187,12.5,1.99,57.3,0.85,0.123,,none,source01,66.84491978609626,2698.0777171794866,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate,191.01,False
489.01,0.306,23.25,1.81,116.4,0.806,0.041,,none,source01,75.98039215686275,2454.030486479835,0<x<=0.05,1900<=G<=4200,1.6<=G<=3.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,489.01,False
490.01,0.306,23.25,1.96,100.9,0.806,0.052,,none,source01,75.98039215686275,2657.403178729545,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate,490.01,False
