G_upper_threshold,N_keep,N_drop,N_PM_ge2p2_keep,N_PM_ge2p2_drop,N_x_le_m20_keep,N_x_le_m20_drop,PM_mean_keep,PM_mean_drop,R2_Tsub_lin_keep,R2_Tsub_quad_keep
3000,77,110,2,24,6,35,1.3845881652408214,1.399882609106381,0.4597068909416988,0.6118418177607148
3500,99,88,2,24,6,35,1.3590930064286801,1.4323882737364297,0.4607885107742663,0.6534974947368064
4000,113,74,4,22,11,30,1.3927425616182714,1.394871165707844,0.4459927864181813,0.6818862049076493
4200,117,70,4,22,12,29,1.372589871178788,1.4286765828189563,0.45519616303428223,0.7202765691478302
4500,123,64,4,22,12,29,1.3243464156591989,1.5266526031119323,0.4904090762541329,0.7733633049264259
5000,133,54,4,22,13,28,1.2975492250418583,1.6301171999014434,0.49780645508852595,0.7915151286171657
6000,156,31,13,13,24,17,1.3407261389298886,1.659583808134919,0.4887747589975253,0.7607149594492695
7000,163,24,15,11,27,14,1.3486689044192486,1.6986393460378177,0.4767597691550046,0.7566350261445032
8000,171,16,19,7,32,9,1.3690026272758602,1.6563079038170643,0.453540501932694,0.7282115347867031
9000,175,12,21,5,34,7,1.374055453688297,1.6783892774827631,0.4476808455801442,0.7296499930625446
10000,178,9,22,4,36,5,1.3807699630320664,1.6470358117263697,0.43915064178471697,0.7247930179883443
