group,N,PM_noF1_mean,PM_noF1_sd,PM_noF1_min,PM_noF1_p25,PM_noF1_median,PM_noF1_p75,PM_noF1_max,Tsub_mean,Tsub_sd,Tsub_min,Tsub_p25,Tsub_median,Tsub_p75,Tsub_max,x_mean,x_sd,x_min,x_p25,x_median,x_p75,x_max,G_kg_m2s_mean,G_kg_m2s_sd,G_kg_m2s_min,G_kg_m2s_p25,G_kg_m2s_median,G_kg_m2s_p75,G_kg_m2s_max,N_old86_overlap,N_current_only,N_PM_ge_2p2,N_yellow_handregion,R2_PM_Tsub_linear,R2_PM_Tsub_quadratic,R2_PM_x_linear
all_current187,187,1.3935848969264444,0.6391883038117517,0.0735487784385007,1.0698289812317205,1.353475742387643,1.6967578958644078,3.6053610399898135,120.90383303010442,76.57534053420035,20.88259301344499,70.0937136079076,103.58496549932198,149.42602102406886,313.18434543454475,-0.11041176470588236,0.13563449647873918,-0.459,-0.161,-0.056,-0.018,0.05,4003.4604137967913,2455.853015603202,520.79232,2237.7795,3404.1373,5262.1724,10565.0317,47,140,26,19,0.4182826204204114,0.6960611489133397,0.7739614273751342
G<=4200_all_x,117,1.372589871178788,0.4428662342784811,0.1135786841963328,1.1165611650523526,1.353475742387643,1.6320250904151847,2.721081299499212,133.17394286140015,81.13175508647053,21.424642698647403,76.03807390665122,107.79264087372076,149.42602102406886,313.18434543454475,-0.07476923076923078,0.09970269465242605,-0.457,-0.117,-0.048,-0.017,0.049,2467.712647692307,934.1755526536153,520.79232,1641.0383,2441.214,3173.5782,4163.626099999999,47,70,4,3,0.45519616303428223,0.7202765691478302,0.7676969286976507
G>4200_all_x,70,1.4286765828189563,0.8772780972918671,0.0735487784385007,0.673647176081798,1.3279351757683873,2.2395123779561663,3.6053610399898135,100.39522088351013,63.70816782886811,20.88259301344499,48.16923490849326,84.60619664825765,141.63420255609532,256.20145638583585,-0.16998571428571424,0.1646958983198897,-0.459,-0.33475,-0.1255,-0.02375,0.05,6570.35310857143,2026.640765445436,4204.313,5187.57975,5580.88645,7696.6052500000005,10565.0317,0,70,22,16,0.669939847433555,0.7784275093538682,0.9013124864927244
x<=-0.20_all_G,41,2.2819558413227927,0.40490762521830925,1.588015902634939,2.137501069429112,2.240059187883798,2.4704383105441856,3.6053610399898135,168.00131446534664,59.21346748712051,69.83293932221864,127.1512248790649,166.72139836705657,211.51032294147768,299.93981302215946,-0.3331951219512195,0.08292352486242825,-0.459,-0.382,-0.335,-0.275,-0.202,5926.460469756097,2692.437247172968,1213.82585,3783.8817,5357.1085,7635.5749,10524.3448,5,36,26,19,0.0035949198609820376,0.027617763639507742,0.4898512633372253
x<=-0.20_G<=4200,12,2.1976936687235957,0.27873201251328206,1.784314835756727,2.063246455737152,2.157302939002233,2.275065401168724,2.721081299499212,194.65559808704916,68.0145058068958,86.04557897376492,132.5964541949889,191.6114819150747,249.9382132424214,299.93981302215946,-0.3100833333333333,0.0683100662531896,-0.457,-0.33575,-0.3275,-0.27699999999999997,-0.202,2813.2730966666663,1049.0282773288477,1213.82585,2003.829825,3153.23475,3648.2587,4109.3769,5,7,4,3,0.02125184686747794,0.06849068353337673,0.29641668061755033
x<=-0.20_G>4200,29,2.316822947225909,0.4465320102779038,1.588015902634939,2.210148917856386,2.272600294731405,2.4936701195505564,3.6053610399898135,156.97195572533178,52.546075147475506,69.83293932221864,123.30541643666328,162.25628229717415,181.1176701054545,256.20145638583585,-0.34275862068965524,0.08755841118623686,-0.459,-0.409,-0.338,-0.275,-0.202,7214.675934482761,2012.7714434753404,4773.9296,5357.1085,6984.584500000001,8652.7474,10524.3448,0,29,22,16,0.03678573280788333,0.059101881497794606,0.5246255702957667
x>-0.20_all_G,146,1.1441108645959632,0.43936083231271433,0.0735487784385007,0.9614544005912022,1.1739228550640672,1.4827258208885838,1.853006511199896,107.67782796952271,75.83692812242383,20.88259301344499,61.89436730825878,81.8434753551922,126.21453139757132,313.18434543454475,-0.04784931506849315,0.06104575361161815,-0.191,-0.08574999999999999,-0.0385,-0.0032500000000000003,0.05,3463.439850136986,2097.0342552376464,520.79232,2078.422475,3044.73635,4367.060600000001,10565.0317,42,104,0,0,0.5655367648982101,0.8816303327300034,0.538228888231352
x>-0.20_G<=4200,105,1.2782922943165245,0.3507315500538901,0.1135786841963328,1.1122264345889912,1.3017638017483473,1.5801796486201998,1.853006511199896,126.14746797846881,79.79085241622951,21.424642698647403,75.46157701295215,103.58496549932198,134.94320198506415,313.18434543454475,-0.047876190476190475,0.058946797270292034,-0.191,-0.083,-0.039,-0.009,0.049,2428.2200249523808,917.4041911163844,520.79232,1586.7891,2427.6517,3132.8913,4163.626099999999,42,63,0,0,0.5528915665710041,0.863388990361406,0.6834747049885553
x>-0.20_G>4200,41,0.8004754957994044,0.46003271940134377,0.0735487784385007,0.3589111087017025,0.8331794513595565,1.1472186562692852,1.70216312799015,60.37753038563628,33.26295831880332,20.88259301344499,31.979825654822093,58.0748318619568,69.26473455273185,142.74263318475448,-0.04778048780487805,0.06689226868447577,-0.189,-0.121,-0.034,0.015,0.05,6114.6125731707325,1932.6909468473489,4204.313,4855.3034,5289.297,6238.657999999999,10565.0317,0,41,0,0,0.7856719210044707,0.8873953694416769,0.761652110397417
PM>=2.2_all_G,26,2.4934608203042288,0.3295134003373567,2.2099410980435703,2.250230374056862,2.3778871069319303,2.5903524080448754,3.6053610399898135,168.51751053598062,52.114816292864575,69.83293932221864,133.55569942995038,169.20243610132238,206.3578735716894,256.20145638583585,-0.37376923076923074,0.0641818090691172,-0.459,-0.44375,-0.363,-0.33425000000000005,-0.256,6600.145457692308,2397.538291622835,2305.591,5262.1724,6048.7858,8215.363225000001,10524.3448,2,24,26,19,0.10187604636777414,0.10231561399297451,0.08112807072590811
