group,N,PM_noF1_mean,PM_noF1_sd,PM_noF1_min,PM_noF1_p25,PM_noF1_median,PM_noF1_p75,PM_noF1_max,Tsub_mean,Tsub_sd,Tsub_min,Tsub_p25,Tsub_median,Tsub_p75,Tsub_max,x_mean,x_sd,x_min,x_p25,x_median,x_p75,x_max,G_kg_m2s_mean,G_kg_m2s_sd,G_kg_m2s_min,G_kg_m2s_p25,G_kg_m2s_median,G_kg_m2s_p75,G_kg_m2s_max,N_old86_overlap,N_current_only,N_PM_ge_2p2,N_yellow_handregion,R2_PM_Tsub_linear,R2_PM_Tsub_quadratic,R2_PM_x_linear
x<=-0.20 | G<1900,3,2.1135117971164665,0.07344423530408396,2.029447535550055,2.087649195722932,2.1458508558958083,2.1555439278996724,2.165236999903537,270.244528796176,35.7293250601277,230.5931119642869,255.39688668318428,280.20066140208166,290.07023721212056,299.93981302215946,-0.3233333333333333,0.03707200201409864,-0.359,-0.3425,-0.326,-0.3055,-0.285,1433.9871866666665,378.9839884085436,1213.82585,1215.18208,1216.53831,1544.067855,1871.5974,0,3,0,0,0.012350490593163399,,0.8956704714848568
x<=-0.20 | 1900<=G<=4200,9,2.2257542925926384,0.31927112721181605,1.784314835756727,2.0745127624661843,2.17241176700994,2.4704383105441856,2.721081299499212,169.45928785067358,56.43335436625404,86.04557897376492,132.16438099330514,162.25628229717415,194.2074052316925,250.73285002387016,-0.3056666666666667,0.0773611659684625,-0.457,-0.335,-0.329,-0.256,-0.202,3273.0350666666664,725.2661046085619,2047.9073,2712.46,3607.5718,3648.2587,4109.3769,5,4,4,3,0.0009167603920308132,0.19460558447782672,0.32900250182923196
x<=-0.20 | G>4200,29,2.316822947225909,0.4465320102779038,1.588015902634939,2.210148917856386,2.272600294731405,2.4936701195505564,3.6053610399898135,156.97195572533178,52.546075147475506,69.83293932221864,123.30541643666328,162.25628229717415,181.1176701054545,256.20145638583585,-0.34275862068965524,0.08755841118623686,-0.459,-0.409,-0.338,-0.275,-0.202,7214.675934482761,2012.7714434753404,4773.9296,5357.1085,6984.584500000001,8652.7474,10524.3448,0,29,22,16,0.03678573280788333,0.059101881497794606,0.5246255702957667
-0.20<x<=-0.10 | G<1900,11,1.7010617591868877,0.0764686981956544,1.5413047115737164,1.6831056807905984,1.6968039870297118,1.7291564039743936,1.853006511199896,224.80113759204457,60.901773056382986,132.74047859555014,163.11664123213856,256.20145638583585,271.15794866475187,279.02406714057867,-0.13572727272727272,0.02302646698514954,-0.189,-0.1465,-0.134,-0.1175,-0.109,1341.0648827272728,300.8733322346587,782.54471,1301.9808,1315.5431,1315.5431,1871.5974,0,11,0,0,0.5404731586010416,0.5684901359789591,0.7567901590726744
-0.20<x<=-0.10 | 1900<=G<=4200,9,1.6329133497656183,0.08150548677758453,1.5158593908629203,1.5801796486201998,1.6117607125194686,1.696711804699104,1.7657520451572235,117.48912431686455,17.951700825296143,77.09689440382374,107.79264087372076,124.9664414921158,128.8193242292905,134.94320198506415,-0.14899999999999997,0.022787057730211682,-0.191,-0.159,-0.146,-0.132,-0.119,2906.852966666667,687.8773959569576,1966.5335,2102.1565,3390.575,3417.6996,3594.0095,6,3,0,0,0.022449012111733002,0.1697911620646203,0.6880891881528673
-0.20<x<=-0.10 | G>4200,12,1.328796281324743,0.22214882555596532,0.9740408016490564,1.172614225039064,1.3279351757683873,1.448194878960497,1.70216312799015,91.23420688063442,31.887141772737966,36.37517080704424,67.2967731526499,90.48011757210315,109.59037604314571,142.74263318475448,-0.1375833333333333,0.02371213089359857,-0.189,-0.154,-0.1255,-0.124,-0.107,6876.0861,1978.0342029877802,4882.428,5282.51585,6218.31455,8018.7098750000005,10470.0956,0,12,0,0,0.7271540460904242,0.7389563244752417,0.518178179650522
-0.10<x<=0 | G<1900,13,1.4069901533693872,0.13664246720775577,1.1688805638214936,1.351192509146819,1.4108242043517238,1.4880925664115456,1.610872802957489,136.0450180490016,49.36999681681367,85.45707234861334,103.88827213816978,122.21707720506936,132.74047859555014,253.96863603375004,-0.04707692307692308,0.03459639080034587,-0.093,-0.086,-0.038,-0.022,-0.003,1399.316383846154,291.93836735459917,1019.88496,1193.4824,1315.5431,1695.2875,1898.722,0,13,0,0,0.49527134076480395,0.5923843232989974,0.4981985194869383
-0.10<x<=0 | 1900<=G<=4200,49,1.2962211618878532,0.20600728962949136,0.8118979825986368,1.1306194974413708,1.2858764091406156,1.445882742939732,1.68347241906529,132.4353765204375,88.64205437777433,28.04836953301753,75.46157701295215,93.25734584317443,143.85385187892945,313.18434543454475,-0.04589795918367346,0.020228120791321653,-0.09,-0.056,-0.045,-0.033,-0.009,2967.126780204081,547.6763703339368,2156.4057,2441.214,2820.9584,3282.0766,4068.69,30,19,0,0,0.8176072050592079,0.957933019977717,0.352595748610002
-0.10<x<=0 | G>4200,16,0.7182506762001241,0.3314037893486159,0.0735487784385007,0.4352763821674508,0.7849574424320329,0.9674870720496859,1.1472186562692852,53.86575082619401,17.022038404063302,26.91818451033987,43.76569049719728,58.62654252242862,63.5317797217603,87.12621807254561,-0.0383125,0.021127292774986577,-0.078,-0.0495,-0.038000000000000006,-0.02175,-0.01,6610.77360625,2161.1286740308296,4678.9935,5106.20595,5845.351299999999,7354.157175,10565.0317,0,16,0,0,0.8420787174089028,0.8625441252174154,0.6460141600328434
0<x<=0.05 | G<1900,11,1.086207091732654,0.0801715831112565,0.939648075944587,1.044425616852346,1.0807270085888994,1.1498318164734276,1.18830075807576,85.14770985277089,13.619305135316395,68.13071600661715,74.28047319358637,82.67080560476268,96.07514536027827,104.4446876334049,0.025363636363636366,0.01475989652587529,0.001,0.017,0.021,0.036500000000000005,0.049,1319.61179,395.1035752720868,520.79232,1331.81786,1383.3546,1539.32105,1817.3482,0,11,0,0,0.6954797951731163,0.7134626029594717,0.36679208983224754
0<x<=0.05 | 1900<=G<=4200,12,0.5882337057435573,0.2871975707401955,0.1135786841963328,0.4693938491770237,0.56766260949071,0.7945518367905472,0.9982901984304464,43.39383440466819,15.32726418007712,21.424642698647403,34.85867856729209,40.01847767457224,54.76526195610947,66.99992038726407,0.03241666666666666,0.014253920247575488,0.001,0.025500000000000002,0.035500000000000004,0.0415,0.049,2996.138108333333,701.4466169968643,2088.5942,2417.479975,3017.61175,3197.3122249999997,4163.626099999999,6,6,0,0,0.9773317028821235,0.9956696521971566,0.6429544356908028
