ExptNo_norm,PM_noF1,Tsub,x,G_kg_m2s,Dia_in,Length_in,L_over_D,old86_member,yellow_candidate_handregion,PM_ge_2p2_calc,InletSubcool_BTUlb,BurnoutHF_1e6_BTU_hr_ft2,flag_norm
36.01,2.721081299499212,132.16438099330514,-0.338,2305.591,0.143,3.0,20.97902097902098,False,True,True,296.8,2.84,none
38.01,2.601409107771878,86.04557897376492,-0.256,2712.46,0.143,3.0,20.97902097902098,False,True,True,206.1,2.09,none
145.01,1.784314835756727,128.29772162697628,-0.202,4109.3769,0.186,12.0,64.51612903225806,False,False,False,289.4,2.3,none
169.01,2.165236999903537,299.93981302215946,-0.359,1213.82585,0.187,12.5,66.84491978609626,False,False,False,602.5,1.46,none
170.01,2.029447535550055,280.20066140208166,-0.285,1216.53831,0.187,12.5,66.84491978609626,False,False,False,567.3,1.46,none
184.01,2.1458508558958083,230.5931119642869,-0.326,1871.5974,0.187,12.5,66.84491978609626,False,False,False,478.4,1.69,none
188.01,2.149368878100929,249.67333431527183,-0.335,2047.9073,0.187,12.5,66.84491978609626,False,False,False,512.7,2.02,none
205.01,2.0745127624661843,162.25628229717415,-0.284,3594.0095,0.187,12.5,66.84491978609626,True,False,False,353.5,2.2,none
207.01,1.84831057414112,132.74047859555014,-0.216,3607.5718,0.187,12.5,66.84491978609626,True,False,False,297.9,1.97,none
209.01,2.2099410980435703,194.2074052316925,-0.334,3648.2587,0.187,12.5,66.84491978609626,True,True,True,412.4,2.59,none
210.01,2.17241176700994,189.0155585984569,-0.329,3648.2587,0.187,12.5,66.84491978609626,True,False,False,402.9,2.52,none
213.01,2.4704383105441856,250.73285002387016,-0.457,3783.8817,0.187,12.5,66.84491978609626,True,False,True,514.6,3.16,none
