ExptNo_norm,PM_noF1,Tsub,x,G_kg_m2s,Dia_in,Length_in,L_over_D,H8_selection,old86_member,yellow_candidate_handregion,InletSubcool_BTUlb,BurnoutHF_1e6_BTU_hr_ft2,flag_norm
41.01,3.6053610399898135,123.30541643666328,-0.409,5180.7986,0.143,3.0,20.97902097902098,A_deep_highG_PWR_out_candidate,False,True,279.8,4.12,none
44.01,2.4234011937527216,71.4946974008999,-0.257,7635.5749,0.143,3.0,20.97902097902098,A_deep_highG_PWR_out_candidate,False,True,176.0,4.02,none
46.01,2.862189847867258,69.83293932221864,-0.275,10144.6004,0.143,3.0,20.97902097902098,A_deep_highG_PWR_out_candidate,False,True,172.5,4.03,none
228.01,2.2513188727177327,167.79934002889797,-0.334,5221.4855,0.187,12.5,66.84491978609626,A_deep_highG_PWR_out_candidate,False,True,363.8,3.01,none
230.01,2.240059187883798,166.72139836705657,-0.336,5316.4216,0.187,12.5,66.84491978609626,A_deep_highG_PWR_out_candidate,False,True,361.8,3.02,none
232.01,2.295350562373408,179.43354523161798,-0.362,5397.7954,0.187,12.5,66.84491978609626,A_deep_highG_PWR_out_candidate,False,True,385.3,3.24,none
234.01,2.4970877438604004,227.8755003580036,-0.457,5574.1053,0.187,12.5,66.84491978609626,A_deep_highG_PWR_out_candidate,False,False,473.5,4.02,none
244.01,2.3937970267096604,137.7296547398861,-0.336,6523.466299999999,0.187,12.5,66.84491978609626,A_deep_highG_PWR_out_candidate,False,True,307.4,2.73,none
245.01,2.2498675411699054,150.5435811843293,-0.334,6984.584500000001,0.187,12.5,66.84491978609626,A_deep_highG_PWR_out_candidate,False,True,331.6,3.41,none
246.01,2.272600294731405,151.12937494316725,-0.338,7011.7091,0.187,12.5,66.84491978609626,A_deep_highG_PWR_out_candidate,False,True,332.7,3.4,none
248.01,2.922337424121136,172.82163664490025,-0.457,7106.6452,0.187,12.5,66.84491978609626,A_deep_highG_PWR_out_candidate,False,True,373.1,3.16,none
249.01,2.5571823088638674,210.4080296850217,-0.456,7364.3289,0.187,12.5,66.84491978609626,A_deep_highG_PWR_out_candidate,False,False,441.9,4.68,none
254.01,2.339446636001019,127.72429570818736,-0.333,8408.626,0.187,12.5,66.84491978609626,A_deep_highG_PWR_out_candidate,False,True,288.3,3.11,none
255.01,2.899717847195624,170.60553217374678,-0.457,8652.7474,0.187,12.5,66.84491978609626,A_deep_highG_PWR_out_candidate,False,True,369.0,3.75,none
258.01,2.3619771871542,122.73516379156324,-0.335,9873.3544,0.187,12.5,66.84491978609626,A_deep_highG_PWR_out_candidate,False,True,278.7,3.36,none
259.01,2.941271632824189,162.25628229717415,-0.459,10524.3448,0.187,12.5,66.84491978609626,A_deep_highG_PWR_out_candidate,False,True,353.5,4.09,none
272.01,2.2326316911378354,243.26589391747268,-0.396,5262.1724,0.226,24.6,108.8495575221239,A_deep_highG_PWR_out_candidate,False,False,501.2,2.83,none
273.01,2.210148917856386,228.42993276673863,-0.382,5262.1724,0.226,24.6,108.8495575221239,A_deep_highG_PWR_out_candidate,False,False,474.5,2.65,none
279.01,2.317854111994885,256.20145638583585,-0.428,5357.1085,0.226,24.6,108.8495575221239,A_deep_highG_PWR_out_candidate,False,False,524.4,2.96,none
280.01,2.4936701195505564,226.2681850502805,-0.449,5357.1085,0.226,24.6,108.8495575221239,A_deep_highG_PWR_out_candidate,False,False,470.6,2.38,G
284.01,2.237871948173272,181.1176701054545,-0.379,10497.2202,0.226,24.6,108.8495575221239,A_deep_highG_PWR_out_candidate,False,True,388.4,3.78,none
285.01,2.221968376122025,170.60553217374678,-0.364,10497.2202,0.226,24.6,108.8495575221239,A_deep_highG_PWR_out_candidate,False,True,369.0,3.56,none
36.01,2.721081299499212,132.16438099330514,-0.338,2305.591,0.143,3.0,20.97902097902098,B_deep_Gle4200_keep_separate,False,True,296.8,2.84,none
38.01,2.601409107771878,86.04557897376492,-0.256,2712.46,0.143,3.0,20.97902097902098,B_deep_Gle4200_keep_separate,False,True,206.1,2.09,none
209.01,2.2099410980435703,194.2074052316925,-0.334,3648.2587,0.187,12.5,66.84491978609626,B_deep_Gle4200_keep_separate,True,True,412.4,2.59,none
213.01,2.4704383105441856,250.73285002387016,-0.457,3783.8817,0.187,12.5,66.84491978609626,B_deep_Gle4200_keep_separate,True,False,514.6,3.16,none
