Length_in,L_over_D,G_old86_band_1p8_3p0,LD_old86_window_64_80,raw_N,old86_N,old86_rate,x_min,x_max,Graw_min,Graw_max
3.0,20.97902097902098,False,False,11,0,0.0,-0.409,0.076,1.18,7.48
3.0,20.97902097902098,True,False,2,0,0.0,-0.256,0.042,2.0,2.9
6.0,80.0,False,True,8,0,0.0,-0.056,-0.017,1.62,1.79
6.0,80.0,True,True,13,13,1.0,-0.075,0.001,1.8,2.89
9.4,52.07756232686981,False,False,17,0,0.0,0.735,1.069,0.0281,0.0634
11.625,64.58333333333334,False,True,11,0,0.0,0.012,0.07,3.02,3.67
11.625,64.58333333333334,True,True,29,25,0.8620689655172413,0.061,0.154,1.86,3.0
12.0,64.51612903225806,False,True,29,0,0.0,-0.227,0.673,0.209,4.2
12.0,64.51612903225806,True,True,16,16,1.0,-0.191,0.081,2.02,3.0
12.5,66.84491978609626,False,True,83,0,0.0,-0.459,0.422,0.384,7.76
12.5,66.84491978609626,True,True,27,24,0.8888888888888888,-0.457,0.188,1.83,2.93
23.25,75.98039215686275,False,True,93,0,0.0,-0.032,0.85,0.166,1.75
23.25,75.98039215686275,True,True,10,8,0.8,0.033,0.083,1.81,2.25
24.6,108.8495575221239,False,False,30,0,0.0,-0.449,0.057,0.96,7.79
27.4,365.3333333333333,False,False,2,0,0.0,-0.083,-0.071,1.67,1.69
27.4,365.3333333333333,True,False,7,0,0.0,-0.077,-0.045,1.92,2.9
