ExptNo_norm,Dia_in,Length_in,L_over_D,G_raw,G_kg_m2_s,InletSubcool_BTUlb,qM,qM_over_Graw,x,flag_norm,lowX_le_005,old86_member
9.01,0.075,6.0,80.0,1.8,2440.4723069965207,250.7,1.28,0.7111111111111111,-0.05,none,True,True
10.01,0.075,6.0,80.0,1.81,2454.030486479835,251.8,1.28,0.7071823204419889,-0.055,none,True,True
11.01,0.075,6.0,80.0,2.24,3037.032204262337,259.4,1.71,0.7633928571428571,-0.033,none,True,True
12.01,0.075,6.0,80.0,2.3,3118.3812811622206,329.5,2.12,0.9217391304347827,-0.075,none,True,True
13.01,0.075,6.0,80.0,2.3,3118.3812811622206,266.9,1.8,0.782608695652174,-0.036,none,True,True
14.01,0.075,6.0,80.0,2.3,3118.3812811622206,265.8,1.75,0.7608695652173914,-0.048,none,True,True
15.01,0.075,6.0,80.0,2.31,3131.9394606455357,329.5,2.14,0.9264069264069265,-0.071,none,True,True
16.01,0.075,6.0,80.0,2.32,3145.4976401288486,194.6,1.32,0.5689655172413793,-0.027,none,True,True
17.01,0.075,6.0,80.0,2.32,3145.4976401288486,184.3,1.25,0.5387931034482759,-0.026,none,True,True
18.01,0.075,6.0,80.0,2.68,3633.592101528153,166.5,1.4,0.5223880597014925,0.001,none,True,True
19.01,0.075,6.0,80.0,2.84,3850.522973261177,181.9,1.54,0.5422535211267606,-0.018,none,True,True
20.01,0.075,6.0,80.0,2.88,3904.755691194433,184.3,1.55,0.5381944444444445,-0.026,none,True,True
21.01,0.075,6.0,80.0,2.89,3918.313870677747,195.8,1.72,0.5951557093425606,-0.012,none,True,True
51.01,0.18,11.625,64.58333333333334,2.03,2752.3104351127427,20.3,0.658,0.3241379310344828,0.137,none,False,True
52.01,0.18,11.625,64.58333333333334,2.51,3403.103050311815,42.2,0.685,0.2729083665338646,0.061,none,False,True
53.01,0.18,11.625,64.58333333333334,2.51,3403.103050311815,18.6,0.535,0.21314741035856577,0.079,none,False,True
54.01,0.18,11.625,64.58333333333334,2.51,3403.103050311815,20.3,0.535,0.21314741035856577,0.075,none,False,True
55.01,0.18,11.625,64.58333333333334,2.51,3403.103050311815,37.6,0.845,0.3366533864541833,0.107,none,False,True
56.01,0.18,11.625,64.58333333333334,2.54,3443.777588761757,43.7,0.852,0.3354330708661417,0.093,none,False,True
57.01,0.18,11.625,64.58333333333334,2.54,3443.777588761757,45.2,0.863,0.33976377952755904,0.092,none,False,True
58.01,0.18,11.625,64.58333333333334,2.54,3443.777588761757,34.6,0.674,0.26535433070866143,0.073,none,False,True
59.01,0.18,11.625,64.58333333333334,2.54,3443.777588761757,36.1,0.681,0.2681102362204725,0.072,none,False,True
60.01,0.18,11.625,64.58333333333334,2.54,3443.777588761757,37.6,0.681,0.2681102362204725,0.068,none,False,True
61.01,0.18,11.625,64.58333333333334,2.57,3484.452127211699,64.2,0.995,0.38715953307393,0.077,none,False,True
62.01,0.18,11.625,64.58333333333334,2.57,3484.452127211699,67.0,0.99,0.3852140077821012,0.07,none,False,True
63.01,0.18,11.625,64.58333333333334,2.57,3484.452127211699,68.4,1.0,0.38910505836575876,0.069,none,False,True
64.01,0.18,11.625,64.58333333333334,2.6,3525.1266656616413,67.0,0.977,0.37576923076923074,0.065,none,False,True
65.01,0.18,11.625,64.58333333333334,2.68,3633.592101528153,22.0,0.69,0.25746268656716415,0.096,none,False,True
66.01,0.18,11.625,64.58333333333334,2.68,3633.592101528153,22.0,0.735,0.27425373134328357,0.105,none,False,True
