rule,selected_N,TP_old86,FP_not_old86,FN_missed_old86,TN,precision,recall,accuracy_within95
qM >= 0.650,93,84,9,2,0,0.9032258064516129,0.9767441860465116,0.8842105263157894
qM >= 0.670,89,83,6,3,3,0.9325842696629213,0.9651162790697675,0.9052631578947369
qM >= 0.674,89,83,6,3,3,0.9325842696629213,0.9651162790697675,0.9052631578947369
qM >= 0.700,83,78,5,8,4,0.9397590361445783,0.9069767441860465,0.8631578947368421
qM >= 0.750,75,72,3,14,6,0.96,0.8372093023255814,0.8210526315789474
qM >= 0.800,72,69,3,17,6,0.9583333333333334,0.8023255813953488,0.7894736842105263
qM >= 0.850,58,57,1,29,8,0.9827586206896551,0.6627906976744186,0.6842105263157895
qM >= 0.900,54,54,0,32,9,1.0,0.627906976744186,0.6631578947368421
qM >= 1.000,48,48,0,38,9,1.0,0.5581395348837209,0.6
G >= 1.90,87,84,3,2,6,0.9655172413793104,0.9767441860465116,0.9473684210526315
G >= 1.96,87,84,3,2,6,0.9655172413793104,0.9767441860465116,0.9473684210526315
G >= 1.99,86,84,2,2,7,0.9767441860465116,0.9767441860465116,0.9578947368421052
G >= 2.00,85,84,1,2,8,0.9882352941176471,0.9767441860465116,0.968421052631579
G >= 2.02,85,84,1,2,8,0.9882352941176471,0.9767441860465116,0.968421052631579
G >= 2.03,84,83,1,3,8,0.9880952380952381,0.9651162790697675,0.9578947368421052
G >= 2.10,69,68,1,18,8,0.9855072463768116,0.7906976744186046,0.8
x <= 0.050,48,47,1,39,8,0.9791666666666666,0.5465116279069767,0.5789473684210527
x <= 0.100,81,79,2,7,7,0.9753086419753086,0.9186046511627907,0.9052631578947369
x <= 0.117,86,83,3,3,6,0.9651162790697675,0.9651162790697675,0.9368421052631579
x <= 0.137,91,86,5,0,4,0.945054945054945,1.0,0.9473684210526315
x <= 0.150,92,86,6,0,3,0.9347826086956522,1.0,0.9368421052631579
x <= 0.188,95,86,9,0,0,0.9052631578947369,1.0,0.9052631578947369
G >= 2.02,85,84,1,2,8,0.9882352941176471,0.9767441860465116,0.968421052631579
G >= 2.02 OR ExptNo 9/10,87,86,1,0,8,0.9885057471264368,1.0,0.9894736842105263
(G >= 2.02 OR ExptNo 9/10) AND NOT(x>0.10 and qM<0.70),85,85,0,1,9,1.0,0.9883720930232558,0.9894736842105263
x <= 0.137,91,86,5,0,4,0.945054945054945,1.0,0.9473684210526315
