group,N,PM_noF1_min,PM_noF1_median,PM_noF1_max,PM_noF1_mean,PM_noF1_std,PM_noF1_nunique,Tsub_K_min,Tsub_K_median,Tsub_K_max,Tsub_K_mean,Tsub_K_std,Tsub_K_nunique,G_min,G_median,G_max,G_mean,G_std,G_nunique,x_Mes_input_min,x_Mes_input_median,x_Mes_input_max,x_Mes_input_mean,x_Mes_input_std,x_Mes_input_nunique,q_M_MWm2_input_min,q_M_MWm2_input_median,q_M_MWm2_input_max,q_M_MWm2_input_mean,q_M_MWm2_input_std,q_M_MWm2_input_nunique,q_P_MWm2_min,q_P_MWm2_median,q_P_MWm2_max,q_P_MWm2_mean,q_P_MWm2_std,q_P_MWm2_nunique,L_DNB_over_DH_input_min,L_DNB_over_DH_input_median,L_DNB_over_DH_input_max,L_DNB_over_DH_input_mean,L_DNB_over_DH_input_std,L_DNB_over_DH_input_nunique,DH_m_min,DH_m_median,DH_m_max,DH_m_mean,DH_m_std,DH_m_nunique,target,model,xcols,k,R2,adj_R2,intercept,beta_Tsub_K,std_beta_Tsub_K,beta_G,std_beta_G,beta_x_Mes_input,std_beta_x_Mes_input,beta_q_M_MWm2_input,std_beta_q_M_MWm2_input,beta_q_P_MWm2,std_beta_q_P_MWm2,beta_L_DNB_over_DH_input,std_beta_L_DNB_over_DH_input
all,187,0.0735487784385007,1.353475742387643,3.6053610399898135,1.3935848969264444,0.6391883038117517,187,20.88259301344499,103.58496549932198,313.18434543454475,120.90383303010442,76.57534053420035,143,520.79232,3404.1373,10565.0317,4003.4604137967913,2455.853015603202,142,-0.459,-0.056,0.05,-0.11041176470588236,0.13563449647873918,132,0.8517393,4.6687932,14.7634812,5.424393417593583,2.7504453271815223,142,0.2974833994253418,5.589295637960782,46.85855583854284,8.631791797011916,8.330097397030668,187,20.97902097902098,66.84491978609627,365.33333333333326,87.5520946435094,65.46587901436577,8,0.001905,0.0047497999999999,0.0077724,0.004689763636363579,0.001565186487759935,7,PM_noF1,Tsub_only,Tsub_K,1,0.41828262042041153,0.4151382021524138,0.7408830189785405,0.005398520969847044,0.6467477254853022,,,,,,,,,,
all,187,0.0735487784385007,1.353475742387643,3.6053610399898135,1.3935848969264444,0.6391883038117517,187,20.88259301344499,103.58496549932198,313.18434543454475,120.90383303010442,76.57534053420035,143,520.79232,3404.1373,10565.0317,4003.4604137967913,2455.853015603202,142,-0.459,-0.056,0.05,-0.11041176470588236,0.13563449647873918,132,0.8517393,4.6687932,14.7634812,5.424393417593583,2.7504453271815223,142,0.2974833994253418,5.589295637960782,46.85855583854284,8.631791797011916,8.330097397030668,187,20.97902097902098,66.84491978609627,365.33333333333326,87.5520946435094,65.46587901436577,8,0.001905,0.0047497999999999,0.0077724,0.004689763636363579,0.001565186487759935,7,PM_noF1,G_only,G,1,0.014823799150867512,0.00949852238952087,1.2667199188976324,,,3.168883039073113e-05,0.12175302522265054,,,,,,,,
all,187,0.0735487784385007,1.353475742387643,3.6053610399898135,1.3935848969264444,0.6391883038117517,187,20.88259301344499,103.58496549932198,313.18434543454475,120.90383303010442,76.57534053420035,143,520.79232,3404.1373,10565.0317,4003.4604137967913,2455.853015603202,142,-0.459,-0.056,0.05,-0.11041176470588236,0.13563449647873918,132,0.8517393,4.6687932,14.7634812,5.424393417593583,2.7504453271815223,142,0.2974833994253418,5.589295637960782,46.85855583854284,8.631791797011916,8.330097397030668,187,20.97902097902098,66.84491978609627,365.33333333333326,87.5520946435094,65.46587901436577,8,0.001905,0.0047497999999999,0.0077724,0.004689763636363579,0.001565186487759935,7,PM_noF1,xMes_only,x_Mes_input,1,0.7739614273751342,0.7727395972528376,0.9358292930723002,,,,,-4.145895186745049,-0.8797507757172677,,,,,,
all,187,0.0735487784385007,1.353475742387643,3.6053610399898135,1.3935848969264444,0.6391883038117517,187,20.88259301344499,103.58496549932198,313.18434543454475,120.90383303010442,76.57534053420035,143,520.79232,3404.1373,10565.0317,4003.4604137967913,2455.853015603202,142,-0.459,-0.056,0.05,-0.11041176470588236,0.13563449647873918,132,0.8517393,4.6687932,14.7634812,5.424393417593583,2.7504453271815223,142,0.2974833994253418,5.589295637960782,46.85855583854284,8.631791797011916,8.330097397030668,187,20.97902097902098,66.84491978609627,365.33333333333326,87.5520946435094,65.46587901436577,8,0.001905,0.0047497999999999,0.0077724,0.004689763636363579,0.001565186487759935,7,PM_noF1,qM_exp_only_DIAG,q_M_MWm2_input,1,0.37613079806842087,0.372758532112034,0.6204657467116538,,,,,,,0.1425263786559509,0.6132950334614009,,,,
all,187,0.0735487784385007,1.353475742387643,3.6053610399898135,1.3935848969264444,0.6391883038117517,187,20.88259301344499,103.58496549932198,313.18434543454475,120.90383303010442,76.57534053420035,143,520.79232,3404.1373,10565.0317,4003.4604137967913,2455.853015603202,142,-0.459,-0.056,0.05,-0.11041176470588236,0.13563449647873918,132,0.8517393,4.6687932,14.7634812,5.424393417593583,2.7504453271815223,142,0.2974833994253418,5.589295637960782,46.85855583854284,8.631791797011916,8.330097397030668,187,20.97902097902098,66.84491978609627,365.33333333333326,87.5520946435094,65.46587901436577,8,0.001905,0.0047497999999999,0.0077724,0.004689763636363579,0.001565186487759935,7,PM_noF1,qP_calc_only_DIAG,q_P_MWm2,1,0.7201768129162597,0.7186642551482394,0.8315034326385823,,,,,,,,,0.06511758827204782,0.8486323190382625,,
all,187,0.0735487784385007,1.353475742387643,3.6053610399898135,1.3935848969264444,0.6391883038117517,187,20.88259301344499,103.58496549932198,313.18434543454475,120.90383303010442,76.57534053420035,143,520.79232,3404.1373,10565.0317,4003.4604137967913,2455.853015603202,142,-0.459,-0.056,0.05,-0.11041176470588236,0.13563449647873918,132,0.8517393,4.6687932,14.7634812,5.424393417593583,2.7504453271815223,142,0.2974833994253418,5.589295637960782,46.85855583854284,8.631791797011916,8.330097397030668,187,20.97902097902098,66.84491978609627,365.33333333333326,87.5520946435094,65.46587901436577,8,0.001905,0.0047497999999999,0.0077724,0.004689763636363579,0.001565186487759935,7,PM_noF1,LD_only,L_DNB_over_DH_input,1,0.003818479804624353,-0.001566285169404713,1.3407615876108108,,,,,,,,,,,0.0006033357571936748,0.0617938492458938
all,187,0.0735487784385007,1.353475742387643,3.6053610399898135,1.3935848969264444,0.6391883038117517,187,20.88259301344499,103.58496549932198,313.18434543454475,120.90383303010442,76.57534053420035,143,520.79232,3404.1373,10565.0317,4003.4604137967913,2455.853015603202,142,-0.459,-0.056,0.05,-0.11041176470588236,0.13563449647873918,132,0.8517393,4.6687932,14.7634812,5.424393417593583,2.7504453271815223,142,0.2974833994253418,5.589295637960782,46.85855583854284,8.631791797011916,8.330097397030668,187,20.97902097902098,66.84491978609627,365.33333333333326,87.5520946435094,65.46587901436577,8,0.001905,0.0047497999999999,0.0077724,0.004689763636363579,0.001565186487759935,7,PM_noF1,Tsub_G,Tsub_K + G,2,0.4783574137876184,0.4726873856766143,0.4346772053327977,0.005782011469628598,0.6926902363812033,6.490393695315571e-05,0.24937022210886953,,,,,,,,
all,187,0.0735487784385007,1.353475742387643,3.6053610399898135,1.3935848969264444,0.6391883038117517,187,20.88259301344499,103.58496549932198,313.18434543454475,120.90383303010442,76.57534053420035,143,520.79232,3404.1373,10565.0317,4003.4604137967913,2455.853015603202,142,-0.459,-0.056,0.05,-0.11041176470588236,0.13563449647873918,132,0.8517393,4.6687932,14.7634812,5.424393417593583,2.7504453271815223,142,0.2974833994253418,5.589295637960782,46.85855583854284,8.631791797011916,8.330097397030668,187,20.97902097902098,66.84491978609627,365.33333333333326,87.5520946435094,65.46587901436577,8,0.001905,0.0047497999999999,0.0077724,0.004689763636363579,0.001565186487759935,7,PM_noF1,Tsub_xMes,Tsub_K + x_Mes_input,2,0.8276940554519557,0.8258211647503466,0.7353720629168906,0.002246691474763458,0.26915568343372764,,,-3.501250288901478,-0.742958400754862,,,,,,
all,187,0.0735487784385007,1.353475742387643,3.6053610399898135,1.3935848969264444,0.6391883038117517,187,20.88259301344499,103.58496549932198,313.18434543454475,120.90383303010442,76.57534053420035,143,520.79232,3404.1373,10565.0317,4003.4604137967913,2455.853015603202,142,-0.459,-0.056,0.05,-0.11041176470588236,0.13563449647873918,132,0.8517393,4.6687932,14.7634812,5.424393417593583,2.7504453271815223,142,0.2974833994253418,5.589295637960782,46.85855583854284,8.631791797011916,8.330097397030668,187,20.97902097902098,66.84491978609627,365.33333333333326,87.5520946435094,65.46587901436577,8,0.001905,0.0047497999999999,0.0077724,0.004689763636363579,0.001565186487759935,7,PM_noF1,Tsub_qM_exp_DIAG,Tsub_K + q_M_MWm2_input,2,0.716069855513161,0.712983658290478,0.10953139717321861,0.004896261669439671,0.5865766041806635,,,,,0.12758600697266853,0.5490061920705516,,,,
all,187,0.0735487784385007,1.353475742387643,3.6053610399898135,1.3935848969264444,0.6391883038117517,187,20.88259301344499,103.58496549932198,313.18434543454475,120.90383303010442,76.57534053420035,143,520.79232,3404.1373,10565.0317,4003.4604137967913,2455.853015603202,142,-0.459,-0.056,0.05,-0.11041176470588236,0.13563449647873918,132,0.8517393,4.6687932,14.7634812,5.424393417593583,2.7504453271815223,142,0.2974833994253418,5.589295637960782,46.85855583854284,8.631791797011916,8.330097397030668,187,20.97902097902098,66.84491978609627,365.33333333333326,87.5520946435094,65.46587901436577,8,0.001905,0.0047497999999999,0.0077724,0.004689763636363579,0.001565186487759935,7,PM_noF1,Tsub_G_xMes,Tsub_K + G + x_Mes_input,3,0.8509061604280816,0.848461999123624,0.9675805140655346,0.0014238943950102539,0.17058384443586772,-4.941605105941331e-05,-0.18986354614086146,-4.090916381056138,-0.8680843816638264,,,,,,
