source,x_band2,G_band2,LD_band2,N,G_mean,G_min,G_max,LD_mean,Hsub_mean,Hsub_min,Hsub_max,qM_mean,qM_min,qM_max,x_mean,x_min,x_max
source01,-0.10<x<=0,1900<=G<=4200,60<=LD<80,19,3048.520977403461,2155.750537846927,4067.453844994201,65.25153663873328,440.7035473684211,406.58480000000003,552.1924,4.567349312723685,3.5015957325000002,6.2145437775,-0.04463157894736842,-0.09,-0.009
source01,-0.10<x<=0,1900<=G<=4200,80<=LD<120,20,2849.9293273926037,2196.425076296869,3918.313870677747,80.0,584.76803,423.0994,766.417,4.758700146375,3.217682565,6.750824205000001,-0.0395,-0.075,-0.012
source01,-0.10<x<=0,1900<=G<=4200,LD<40,1,2426.914127513207,2426.914127513207,2426.914127513207,20.97902097902098,181.6606,181.6606,181.6606,3.7855089,3.7855089,3.7855089,-0.047,-0.047,-0.047
source01,-0.10<x<=0,1900<=G<=4200,LD>=120,9,3110.8489592270466,2264.2159737134384,3931.872050161061,365.3333333333333,1446.2292666666667,1438.1658,1456.3086,2.937274498333333,2.11673039325,3.7413446295,-0.06266666666666666,-0.083,-0.045
source01,-0.10<x<=0,G<1900,60<=LD<80,11,1414.1181201096506,1019.5750971452132,1898.1451276639605,68.9129957501529,623.9177818181819,476.59740000000005,814.5652,2.9022234900000003,2.0820298950000002,3.8801466225,-0.04436363636363636,-0.093,-0.003
source01,-0.10<x<=0,G<1900,80<=LD<120,2,1315.1434098814584,1315.1434098814584,1315.1434098814584,108.8495575221239,1142.2986,1074.1468,1210.4504,3.2492284725000005,2.965315305,3.5331416400000006,-0.062,-0.086,-0.038
source01,-0.10<x<=0,G>4200,60<=LD<80,10,5847.64281115333,4677.571921743332,8338.280382238114,66.61204071071244,306.00856000000005,184.917,398.4438,5.52999758475,4.1956056975000005,6.750824205000001,-0.041499999999999995,-0.078,-0.01
source01,-0.10<x<=0,G>4200,80<=LD<120,5,8422.341095034659,5247.015460042519,10561.82181750161,108.8495575221239,372.99736,291.21520000000004,484.5058,6.145142781,4.479518865,7.539471892500001,-0.0372,-0.061,-0.023
source01,-0.10<x<=0,G>4200,LD<40,1,5152.108203659322,5152.108203659322,5152.108203659322,20.97902097902098,175.1478,175.1478,175.1478,9.9369608625,9.9369608625,9.9369608625,-0.012,-0.012,-0.012
source01,-0.20<x<=-0.10,1900<=G<=4200,60<=LD<80,8,3006.5263004248804,1965.9360250805305,3592.917563078211,65.97162325340693,647.122275,572.8938,702.6846,5.45547037828125,4.21137865125,6.9400996500000005,-0.149375,-0.191,-0.119
source01,-0.20<x<=-0.10,1900<=G<=4200,LD<40,1,2101.517819913671,2101.517819913671,2101.517819913671,20.97902097902098,436.5902,436.5902,436.5902,7.0031914650000004,7.0031914650000004,7.0031914650000004,-0.146,-0.146,-0.146
source01,-0.20<x<=-0.10,G<1900,60<=LD<80,5,1373.9859088390413,782.306956187218,1871.0287686973325,66.84491978609626,873.50604,692.9154,1302.7926,3.5142140955000003,2.4290348775000004,4.7003402175,-0.1392,-0.189,-0.109
source01,-0.20<x<=-0.10,G<1900,80<=LD<120,6,1312.883713300906,1301.5852303981444,1315.1434098814584,108.8495575221239,1262.4752666666666,1212.7764,1314.6552000000001,3.3754121025000003,3.1861366575,3.5015957325000002,-0.13283333333333333,-0.153,-0.117
source01,-0.20<x<=-0.10,G>4200,60<=LD<80,6,6431.096468251943,4880.9446139930415,8921.282100020615,66.84491978609626,438.33470000000005,345.411,567.7766,6.74556655375,5.9621765175,7.31865054,-0.13533333333333333,-0.189,-0.124
source01,-0.20<x<=-0.10,G>4200,80<=LD<120,5,7237.356208193016,5260.573639525834,10466.91456111841,108.8495575221239,627.7873999999999,500.3226,737.1093999999999,7.545781074,5.93063061,9.526864065,-0.141,-0.163,-0.107
source01,-0.20<x<=-0.10,G>4200,LD<40,1,7714.604126005669,7714.604126005669,7714.604126005669,20.97902097902098,228.41320000000002,228.41320000000002,228.41320000000002,7.728747337500001,7.728747337500001,7.728747337500001,-0.134,-0.134,-0.134
