ExptNo,Dia_in,Length_in,G_1e6_lb_hr_ft2,InletSubcool_BTUlb,BurnoutHF_1e6_BTU_hr_ft2,ExitQuality,flag,flag_norm,source,L_over_D,G_kg_m2_s,quality_bin,G_band_kg,G_band_raw,lowX_le_005,x_gt_005,x_pos_gt_005,flow_proxy_comment,Hsub_kJkg,qCHF_MW_m2,lowX_le_005_calc,G_le_4200,G_ge_1900,LD_ge_40,B_like_lowX,B_like_lowX_G1900_4200,x_band2,G_band2,LD_band2
294.09,0.304,18.0,0.491,460.0,0.975,0.022,,none,source09,59.21052631578947,665.7066126307176,0<x<=0.05,G<1900,G<1.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,1069.96,3.07572598125,True,True,False,True,True,False,0<x<=0.05,G<1900,40<=LD<60
299.09,0.304,18.0,0.5,391.0,0.86,0.035,,none,source09,59.21052631578947,677.9089741657002,0<x<=0.05,G<1900,G<1.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,909.466,2.712948045,True,True,False,True,True,False,0<x<=0.05,G<1900,40<=LD<60
301.09,0.304,18.0,0.508,538.0,1.0,-0.155,,none,source09,59.21052631578947,688.7555177523515,x<=0,G<1900,G<1.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,1251.3880000000001,3.15459075,True,True,False,True,True,False,-0.20<x<=-0.10,G<1900,40<=LD<60
302.09,0.304,18.0,0.511,391.0,0.86,0.016,,none,source09,59.21052631578947,692.8229715973456,0<x<=0.05,G<1900,G<1.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,909.466,2.712948045,True,True,False,True,True,False,0<x<=0.05,G<1900,40<=LD<60
304.09,0.304,18.0,0.512,556.0,1.14,-0.062,,none,source09,59.21052631578947,694.1787895456771,x<=0,G<1900,G<1.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,1293.256,3.5962334549999997,True,True,False,True,True,False,-0.10<x<=0,G<1900,40<=LD<60
305.09,0.304,18.0,0.52,554.0,1.08,-0.134,,none,source09,59.21052631578947,705.0253331323282,x<=0,G<1900,G<1.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,1288.604,3.4069580100000003,True,True,False,True,True,False,-0.20<x<=-0.10,G<1900,40<=LD<60
307.09,0.304,18.0,0.541,524.0,1.0,-0.186,,none,source09,59.21052631578947,733.4975100472877,x<=0,G<1900,G<1.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,1218.824,3.15459075,True,True,False,True,True,False,-0.20<x<=-0.10,G<1900,40<=LD<60
308.09,0.304,18.0,0.545,565.0,1.1,-0.188,,none,source09,59.21052631578947,738.9207818406132,x<=0,G<1900,G<1.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,1314.19,3.4700498250000003,True,True,False,True,True,False,-0.20<x<=-0.10,G<1900,40<=LD<60
314.09,0.304,18.0,0.685,306.0,0.86,-0.019,,none,source09,59.21052631578947,928.7352946070092,x<=0,G<1900,G<1.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,711.756,2.712948045,True,True,False,True,True,False,-0.10<x<=0,G<1900,40<=LD<60
317.09,0.304,18.0,0.687,299.0,0.86,-0.005,,none,source09,59.21052631578947,931.4469305036722,x<=0,G<1900,G<1.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,695.474,2.712948045,True,True,False,True,True,False,-0.10<x<=0,G<1900,40<=LD<60
