ExptNo,Dia_in,Length_in,G_1e6_lb_hr_ft2,InletSubcool_BTUlb,BurnoutHF_1e6_BTU_hr_ft2,ExitQuality,flag,flag_norm,source,L_over_D,G_kg_m2_s,quality_bin,G_band_kg,G_band_raw,lowX_le_005,x_gt_005,x_pos_gt_005,flow_proxy_comment,Hsub_kJkg,qCHF_MW_m2,lowX_le_005_calc,G_le_4200,G_ge_1900,LD_ge_40,B_like_lowX,B_like_lowX_G1900_4200,x_band2,G_band2,LD_band2
370.09,0.304,18.0,1.46,167.0,0.99,-0.014,,none,source09,59.21052631578947,1979.4942045638445,x<=0,1900<=G<=4200,1.0<=G<1.6,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,388.442,3.1230448425,True,True,True,True,True,True,-0.10<x<=0,1900<=G<=4200,40<=LD<60
372.09,0.304,18.0,1.47,372.0,1.63,-0.236,,none,source09,59.21052631578947,1993.0523840471585,x<=0,1900<=G<=4200,1.0<=G<1.6,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,865.272,5.1419829224999996,True,True,True,True,True,True,x<=-0.20,1900<=G<=4200,40<=LD<60
373.09,0.304,18.0,1.48,364.0,1.62,-0.226,,none,source09,59.21052631578947,2006.6105635304723,x<=0,1900<=G<=4200,1.0<=G<1.6,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,846.664,5.1104370150000005,True,True,True,True,True,True,x<=-0.20,1900<=G<=4200,40<=LD<60
374.09,0.304,18.0,1.48,214.0,1.14,-0.068,,none,source09,59.21052631578947,2006.6105635304723,x<=0,1900<=G<=4200,1.0<=G<1.6,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,497.764,3.5962334549999997,True,True,True,True,True,True,-0.10<x<=0,1900<=G<=4200,40<=LD<60
376.09,0.304,18.0,1.49,248.0,1.27,-0.1,,none,source09,59.21052631578947,2020.1687430137863,x<=0,1900<=G<=4200,1.0<=G<1.6,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,576.8480000000001,4.006330252500001,True,True,True,True,True,True,-0.20<x<=-0.10,1900<=G<=4200,40<=LD<60
377.09,0.304,18.0,1.5,295.0,1.43,-0.149,,none,source09,59.21052631578947,2033.7269224971003,x<=0,1900<=G<=4200,1.0<=G<1.6,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,686.1700000000001,4.5110647725,True,True,True,True,True,True,-0.20<x<=-0.10,1900<=G<=4200,40<=LD<60
378.09,0.304,18.0,1.5,125.0,0.865,0.025,,none,source09,59.21052631578947,2033.7269224971003,0<x<=0.05,1900<=G<=4200,1.0<=G<1.6,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,290.75,2.72872099875,True,True,True,True,True,True,0<x<=0.05,1900<=G<=4200,40<=LD<60
381.09,0.304,18.0,1.89,299.0,1.7,-0.186,,none,source09,59.21052631578947,2562.4959223463466,x<=0,1900<=G<=4200,1.6<=G<=3.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,695.474,5.362804275,True,True,True,True,True,True,-0.20<x<=-0.10,1900<=G<=4200,40<=LD<60
383.09,0.304,18.0,1.91,91.0,0.855,0.032,,none,source09,59.21052631578947,2589.6122813129746,0<x<=0.05,1900<=G<=4200,1.6<=G<=3.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,211.666,2.69717509125,True,True,True,True,True,True,0<x<=0.05,1900<=G<=4200,40<=LD<60
384.09,0.304,18.0,1.92,96.0,0.865,0.023,,none,source09,59.21052631578947,2603.170460796289,0<x<=0.05,1900<=G<=4200,1.6<=G<=3.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,223.296,2.72872099875,True,True,True,True,True,True,0<x<=0.05,1900<=G<=4200,40<=LD<60
385.09,0.304,18.0,1.93,223.0,1.42,-0.105,,none,source09,59.21052631578947,2616.7286402796026,x<=0,1900<=G<=4200,1.6<=G<=3.0,True,False,False,lowX: DNB bubble/slug proxy candidate; quality alone not flow-regime proof,518.698,4.479518865,True,True,True,True,True,True,-0.20<x<=-0.10,1900<=G<=4200,40<=LD<60
