set,N,Dia_in_mean,Dia_in_median,Dia_in_min,Dia_in_max,Length_in_mean,Length_in_median,Length_in_min,Length_in_max,L_over_D_mean,L_over_D_median,L_over_D_min,L_over_D_max,G_kg_m2_s_mean,G_kg_m2_s_median,G_kg_m2_s_min,G_kg_m2_s_max,Hsub_kJkg_mean,Hsub_kJkg_median,Hsub_kJkg_min,Hsub_kJkg_max,qCHF_MW_m2_mean,qCHF_MW_m2_median,qCHF_MW_m2_min,qCHF_MW_m2_max,ExitQuality_mean,ExitQuality_median,ExitQuality_min,ExitQuality_max,N_lowX_le_005,N_G_le_4200,N_G_1900_4200,N_LD_ge_40,N_B_like_lowX,N_B_like_lowX_G1900_4200
source01_all,388,0.2103492268041237,0.187,0.075,0.306,15.680798969072164,12.5,3.0,27.4,77.46652903701076,66.84491978609626,20.97902097902098,365.3333333333333,2879.331707240155,2413.3559480298927,38.09848434811235,10561.82181750161,454.2618051546392,392.8614,1.6281999999999999,1456.3086,3.6641628511759023,2.679824842125,0.227130534,14.76348471,0.07726804123711341,0.0535,-0.459,1.069,190.0,307.0,146.0,375.0,113.0,75.0
source01_lowX_le_005,190,0.1842052631578948,0.187,0.075,0.306,14.761842105263158,12.5,3.0,27.4,86.73008352277135,66.84491978609626,20.97902097902098,365.3333333333333,4015.333348706767,3409.882140053472,520.6340921592578,10561.82181750161,617.5676905263157,556.0303,38.6116,1456.3086,5.402884180634211,4.65302135625,0.8517395025000001,14.76348471,-0.10814210526315791,-0.0555,-0.459,0.05,190.0,118.0,80.0,179.0,113.0,75.0
source01_B_like_lowX,113,0.180141592920354,0.187,0.075,0.306,15.153761061946902,12.5,6.0,27.4,97.51244827774579,75.98039215686275,64.51612903225806,365.3333333333333,2469.8203663028808,2454.030486479835,520.6340921592578,4162.361101377399,690.671736283186,583.1282,142.8164,1456.3086,4.0249227962123895,3.9116925300000003,0.8517395025000001,9.968506770000001,-0.07045132743362831,-0.047,-0.457,0.049,113.0,113.0,75.0,113.0,113.0,75.0
source01_B_like_lowX_G1900_4200,75,0.15455999999999995,0.186,0.075,0.306,13.483000000000002,12.0,6.0,27.4,106.73233799091483,75.98039215686275,64.51612903225806,365.3333333333333,3031.2654585887676,3050.590383745651,1965.9360250805305,4162.361101377399,638.7227013333334,552.1924,142.8164,1456.3086,4.538278375370001,4.2586975125,2.11673039325,9.968506770000001,-0.06886666666666667,-0.045,-0.457,0.049,75.0,75.0,75.0,75.0,75.0,75.0
source09_all,232,0.37568965517241376,0.436,0.304,0.436,18.0,18.0,18.0,18.0,49.47478729249571,41.28440366972477,41.28440366972477,59.21052631578947,1139.4188845005235,1020.2530061193788,170.83306148975646,2711.635896662801,512.3817068965518,426.821,0.0,1397.926,2.487925103957974,2.263418863125,0.8170390042500001,5.362804275,0.07791379310344827,0.0465,-0.82,0.72,117.0,232.0,48.0,232.0,117.0,40.0
source09_lowX_le_005,117,0.3649230769230769,0.304,0.304,0.436,18.0,18.0,18.0,18.0,50.936931248375,59.21052631578947,41.28440366972477,59.21052631578947,1500.3690003611941,1382.9343072980284,345.7335768245071,2711.635896662801,681.9255470085471,623.368,143.049,1397.926,3.393422928320514,3.2492284725,1.8485901795,5.362804275,-0.11976068376068374,-0.09,-0.82,0.048,117.0,117.0,40.0,117.0,117.0,40.0
source09_B_like_lowX,117,0.3649230769230769,0.304,0.304,0.436,18.0,18.0,18.0,18.0,50.936931248375,59.21052631578947,41.28440366972477,59.21052631578947,1500.3690003611941,1382.9343072980284,345.7335768245071,2711.635896662801,681.9255470085471,623.368,143.049,1397.926,3.393422928320514,3.2492284725,1.8485901795,5.362804275,-0.11976068376068374,-0.09,-0.82,0.048,117.0,117.0,40.0,117.0,117.0,40.0
source09_B_like_lowX_G1900_4200,40,0.37329999999999997,0.436,0.304,0.436,18.0,18.0,18.0,18.0,49.799311926605505,41.28440366972477,41.28440366972477,59.21052631578947,2201.848348090194,2033.7269224971003,1925.2614866305885,2711.635896662801,435.83425,374.486,143.049,1195.564,3.4817218107750003,3.40695801,2.01578348925,5.362804275,-0.1079,-0.07050000000000001,-0.82,0.032,40.0,40.0,40.0,40.0,40.0,40.0
source07_all,4,0.135,0.12,0.12,0.18,6.85,6.0,6.0,9.4,50.55555555555556,50.0,50.0,52.22222222222223,70.63811510806596,78.2306956187218,31.18381281162221,94.90725638319805,1038.3264000000001,1083.3345,737.1093999999999,1249.5272000000002,0.5323371890624999,0.5473214951250001,0.3470049825,0.6877007835,0.562,0.565,0.213,0.905,0.0,4.0,0.0,4.0,0.0,0.0
source07_lowX_le_005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source07_B_like_lowX,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source07_B_like_lowX_G1900_4200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source11_all,25,0.4124399999999999,0.412,0.411,0.415,72.0,72.0,72.0,72.0,174.57314425300947,174.75728155339806,173.49397590361446,175.18248175182484,1236.5059688782374,1355.8179483314004,677.9089741657002,1762.5633328308206,192.146208,169.798,36.9834,562.892,0.84378993381,0.8265027765,0.5867538795,1.0630970827500001,0.31204,0.292,0.183,0.515,0.0,25.0,0.0,25.0,0.0,0.0
source11_lowX_le_005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source11_B_like_lowX,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source11_B_like_lowX_G1900_4200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
