tm側列名,tm側列番号,Excel列,source09 CSV側列名,単位,変換の有無,値貼付か数式コピーか,注意点
No_TableNo,1,A,derived: ExptNo_Table10/source09,id,あり,値貼付,
P,2,B,"constant 2000 psia = 13,789,520 Pa (T10 pressure)",Pa,あり,値貼付,
Ts,3,C,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
rhoG,4,D,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
rhoL,5,E,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
HG,6,F,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
HL,7,G,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
muG,8,H,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
muL,9,I,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
KL,10,J,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
CPL,11,K,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
sigma,12,L,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
No,13,M,ExptNo,source ExptNo,なし,値貼付,
G,14,N,G_kg_m2_s,kg/m^2/s,なし,値貼付,
A,15,O,,,,既存定数を踏襲/判断保留,DHから算出される数式列として扱う（値貼付しない）。
Pw,16,P,,,,既存定数を踏襲/判断保留,DHから算出される数式列として扱う（値貼付しない）。
DH,17,Q,Dia_in -> m,m,あり,値貼付,
L_DNB,18,R,Length_in -> m,m,あり,値貼付,
q_in,19,S,BurnoutHF_1e6_BTU_hr_ft2 -> W/m2,W/m^2,あり,値貼付,
Tin,20,T,,,,既存定数を踏襲/判断保留,source09 CSVにTinなし。Hsubから逆算可能か要判断。現時点は判断保留。
Tf,21,U,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
f(beta),22,V,,,,既存定数を踏襲/判断保留,
Re,23,W,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
f,24,X,,,,既存定数を踏襲/判断保留,
f_left,25,Y,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
f_rihgt,26,Z,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
f_balance,27,AA,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
DB,28,AB,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
Tw,29,AC,,,,既存定数を踏襲/判断保留,
y_plus,30,AD,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
Tm,31,AE,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
Tw_balance,32,AF,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
y_star,33,AG,,,,既存定数を踏襲/判断保留,
tauw,34,AH,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
Utau,35,AI,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
y_plus2,36,AJ,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
Q,37,AK,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
Pr,38,AL,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
T(y_plus),39,AM,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
y_star_balance,40,AN,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
delta,41,AO,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
UB,42,AP,,,,既存定数を踏襲/判断保留,
LB,43,AQ,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
YB,44,AR,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
YB_plus,45,AS,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
Karman_UB,46,AT,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
UBL,47,AU,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
UB_left,48,AV,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
CD,49,AW,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
UB_right,50,AX,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
UB_balance,51,AY,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
HG-HL,52,AZ,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
LB/UB,53,BA,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
q_P,54,BB,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
dq_chf,55,BC,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
dq_ratio,56,BD,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
q_M,57,BE,BurnoutHF_1e6_BTU_hr_ft2 -> W/m2,W/m^2,あり,値貼付,
PM_ratio,58,BF,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
F_form,59,BG,constant 1,-,なし,値貼付,
x_Mes,60,BH,ExitQuality,-,なし,値貼付,
A_corr,61,BI,,,,既存定数を踏襲/判断保留,
σ_corr,62,BJ,,,,既存定数を踏襲/判断保留,
Fcorr,63,BK,constant 1,-,なし,値貼付,
Tsub,64,BL,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
q_P_MW,65,BM,,,,数式コピー,既存テーブル数式。追加時は直上行/テーブルの数式コピーが必要。
