No_TableNo,P,Ts,rhoG,rhoL,HG,HL,muG,muL,KL,CPL,sigma,No,G,A,Pw,DH,L_DNB,q_in,Tin,Tf,f(beta),Re,f,f_left,f_rihgt,f_balance,DB,Tw,y_plus,Tm,Tw_balance,y_star,tauw,Utau,y_plus2,Q,Pr,T(y_plus),y_star_balance,delta,UB,LB,YB,YB_plus,Karman_UB,UBL,UB_left,CD,UB_right,UB_balance,HG-HL,LB/UB,q_P,dq_chf,dq_ratio,q_M,PM_ratio,F_form,x_Mes,A_corr,σ_corr,Fcorr,Tsub,q_P_MW,Tsub2,Fcorr2,(Tsub-40)^2,F2,L,_source,_table,_origin,_source_ExptNo,_flag_norm,_Hsub_kJkg,_L_over_D,_G_band2,_x_band2
294.09_10_source09,13789520,,,,,,,,,,,294.09,665.7066126307176,,,0.0077215999999999995,0.4572,3075725.98125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3075725.98125,,1,0.022,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,294.09,none,1069.96,59.21052631578947,G<1900,0<x<=0.05
299.09_10_source09,13789520,,,,,,,,,,,299.09,677.9089741657002,,,0.0077215999999999995,0.4572,2712948.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2712948.045,,1,0.035,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,299.09,none,909.466,59.21052631578947,G<1900,0<x<=0.05
301.09_10_source09,13789520,,,,,,,,,,,301.09,688.7555177523515,,,0.0077215999999999995,0.4572,3154590.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3154590.75,,1,-0.155,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,301.09,none,1251.3880000000001,59.21052631578947,G<1900,-0.20<x<=-0.10
302.09_10_source09,13789520,,,,,,,,,,,302.09,692.8229715973456,,,0.0077215999999999995,0.4572,2712948.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2712948.045,,1,0.016,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,302.09,none,909.466,59.21052631578947,G<1900,0<x<=0.05
304.09_10_source09,13789520,,,,,,,,,,,304.09,694.1787895456771,,,0.0077215999999999995,0.4572,3596233.4549999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3596233.4549999996,,1,-0.062,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,304.09,none,1293.256,59.21052631578947,G<1900,-0.10<x<=0
305.09_10_source09,13789520,,,,,,,,,,,305.09,705.0253331323282,,,0.0077215999999999995,0.4572,3406958.0100000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3406958.0100000002,,1,-0.134,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,305.09,none,1288.604,59.21052631578947,G<1900,-0.20<x<=-0.10
307.09_10_source09,13789520,,,,,,,,,,,307.09,733.4975100472877,,,0.0077215999999999995,0.4572,3154590.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3154590.75,,1,-0.186,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,307.09,none,1218.824,59.21052631578947,G<1900,-0.20<x<=-0.10
308.09_10_source09,13789520,,,,,,,,,,,308.09,738.9207818406132,,,0.0077215999999999995,0.4572,3470049.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3470049.825,,1,-0.188,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,308.09,none,1314.19,59.21052631578947,G<1900,-0.20<x<=-0.10
314.09_10_source09,13789520,,,,,,,,,,,314.09,928.7352946070092,,,0.0077215999999999995,0.4572,2712948.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2712948.045,,1,-0.019,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,314.09,none,711.756,59.21052631578947,G<1900,-0.10<x<=0
317.09_10_source09,13789520,,,,,,,,,,,317.09,931.4469305036722,,,0.0077215999999999995,0.4572,2712948.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2712948.045,,1,-0.005,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,317.09,none,695.474,59.21052631578947,G<1900,-0.10<x<=0
319.09_10_source09,13789520,,,,,,,,,,,319.09,935.5143843486662,,,0.0077215999999999995,0.4572,4069422.0675000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4069422.0675000004,,1,-0.246,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,319.09,none,1295.582,59.21052631578947,G<1900,x<=-0.20
