Y,Model,Term,Coefficient
PM_F1,Hsub_only,Intercept,0.813825892410153
PM_F1,Hsub_only,Hsub_true,0.000544383295275844
PM_F1,Hsub_LD,Intercept,0.811406550259395
PM_F1,Hsub_LD,Hsub_true,0.000265832372682649
PM_F1,Hsub_LD,LD,0.00147045615181786
PM_F1,Hsub_P,Intercept,0.514386977226272
PM_F1,Hsub_P,Hsub_true,0.000504569260371291
PM_F1,Hsub_P,P_MPa,0.0216729811123396
PM_F1,Hsub_xMes,Intercept,0.769343773489958
PM_F1,Hsub_xMes,Hsub_true,0.000668086101155264
PM_F1,Hsub_xMes,x_Mes,0.829803475602185
PM_F1,Hsub_qM,Intercept,1.04253929812114
PM_F1,Hsub_qM,Hsub_true,0.000588947991797875
PM_F1,Hsub_qM,qM_MW_m2,-0.063258855864311
PM_F1,Hsub_P_xMes,Intercept,0.521998988731955
PM_F1,Hsub_P_xMes,Hsub_true,0.000631973008866283
PM_F1,Hsub_P_xMes,P_MPa,0.017982599443124
PM_F1,Hsub_P_xMes,x_Mes,0.809153312602536
PM_F1,Hsub_P_xMes_qM,Intercept,0.989112617119032
PM_F1,Hsub_P_xMes_qM,Hsub_true,0.000493046444087402
PM_F1,Hsub_P_xMes_qM,P_MPa,0.0122846039027438
PM_F1,Hsub_P_xMes_qM,x_Mes,-0.601776780457467
PM_F1,Hsub_P_xMes_qM,qM_MW_m2,-0.0865035699258869
PM_F1,Hsub_LD_P_xMes,Intercept,0.361055802677431
PM_F1,Hsub_LD_P_xMes,Hsub_true,-3.80881381017651e-05
PM_F1,Hsub_LD_P_xMes,LD,0.00227860975038861
PM_F1,Hsub_LD_P_xMes,P_MPa,0.0347630548608388
PM_F1,Hsub_LD_P_xMes,x_Mes,-0.583396189456766
PM_F1,Hsub_LD_P_xMes_qM,Intercept,0.922210564921246
PM_F1,Hsub_LD_P_xMes_qM,Hsub_true,0.000391076910760248
PM_F1,Hsub_LD_P_xMes_qM,LD,0.000386790562245302
PM_F1,Hsub_LD_P_xMes_qM,P_MPa,0.0156158965633795
PM_F1,Hsub_LD_P_xMes_qM,x_Mes,-0.71860081716637
PM_F1,Hsub_LD_P_xMes_qM,qM_MW_m2,-0.0791734461767481
PM_F1,Hsub_T12dummy,Intercept,0.814056130390932
PM_F1,Hsub_T12dummy,Hsub_true,0.00052038775483031
PM_F1,Hsub_T12dummy,isT12,0.064726379218516
PM_F1,Hsub_LD_T12dummy,Intercept,0.81160932489226
PM_F1,Hsub_LD_T12dummy,Hsub_true,0.00022394985891803
PM_F1,Hsub_LD_T12dummy,LD,0.00152794821100165
PM_F1,Hsub_LD_T12dummy,isT12,0.0835980519826147
PM_F1,Hsub_P_xMes_T12dummy,Intercept,0.909042300523555
PM_F1,Hsub_P_xMes_T12dummy,Hsub_true,0.000655366421034784
PM_F1,Hsub_P_xMes_T12dummy,P_MPa,-0.0102237253552491
PM_F1,Hsub_P_xMes_T12dummy,x_Mes,0.865396578537329
PM_F1,Hsub_P_xMes_T12dummy,isT12,0.099284608200792
PM_F1,Hsub_LD_P_xMes_T12dummy,Intercept,0.289823008603353
PM_F1,Hsub_LD_P_xMes_T12dummy,Hsub_true,-5.79906512092338e-05
PM_F1,Hsub_LD_P_xMes_T12dummy,LD,0.00233243061778577
PM_F1,Hsub_LD_P_xMes_T12dummy,P_MPa,0.0400735612867226
PM_F1,Hsub_LD_P_xMes_T12dummy,x_Mes,-0.626087065217731
PM_F1,Hsub_LD_P_xMes_T12dummy,isT12,-0.0172975242059661
