Metric,Value
source01_T9_12_rows,176
R2_Hsub_only,0.775426516001695
R2_Hsub_LD,0.815847316288185
R2_Hsub_P,0.795365386887914
R2_Hsub_xMes,0.802028434680554
R2_Hsub_P_xMes,0.826563402226159
R2_Hsub_LD_P_xMes,0.849806783181328
R2_Hsub_T12dummy,0.791669840108056
R2_Hsub_LD_T12dummy,0.841840100583606
R2_Hsub_qM_DIAG_ONLY,0.866831818160096
T9_raw_long_minus_short,0.293034754993019
T9_resid_Hsub_long_minus_short,-0.128365551647653
T9_resid_Hsub_LD_long_minus_short,-0.235443867586764
T9_resid_Hsub_P_long_minus_short,-0.108636358356787
T9_resid_Hsub_xMes_long_minus_short,-0.178181507298907
T9_resid_Hsub_P_xMes_long_minus_short,-0.160560878983147
T11_raw_long_minus_short,0.534510864113496
T11_resid_Hsub_long_minus_short,0.0738503491610199
T11_resid_Hsub_LD_long_minus_short,-0.0170719567425034
T12_raw_long_minus_short,0.722012744377492
T12_resid_Hsub_long_minus_short,0.242316303810749
T12_resid_Hsub_LD_long_minus_short,0.159227491882048
T12_resid_Hsub_P_long_minus_short,0.264774815700139
T12_resid_Hsub_xMes_long_minus_short,0.186428149338662
T12_resid_Hsub_P_xMes_long_minus_short,0.206558025662062
T12long_minus_T9long_resid_Hsub,0.368494283280479
T12long_minus_T11long_resid_Hsub,0.171020273858323
T12long_minus_T9long_resid_Hsub_P_xMes,0.262748003855691
T12long_minus_T11long_resid_Hsub_P_xMes,0.147092925019762
