Y,Model,Role,Term,Coefficient
PM_F1,Hsub_only,candidate_axis,Intercept,0.829392812060982
PM_F1,Hsub_only,candidate_axis,Hsub_true,0.000501352021212687
PM_F1,Hsub_LD,candidate_diagnostic_LD,Intercept,0.837520945423824
PM_F1,Hsub_LD,candidate_diagnostic_LD,Hsub_true,0.000295040118286816
PM_F1,Hsub_LD,candidate_diagnostic_LD,LD,0.000983022910704434
PM_F1,Hsub_P,candidate_axis,Intercept,0.52132059608552
PM_F1,Hsub_P,candidate_axis,Hsub_true,0.000477879634559428
PM_F1,Hsub_P,candidate_axis,P_MPa,0.0224117116948285
PM_F1,Hsub_xMes,candidate_axis,Intercept,0.801799921243716
PM_F1,Hsub_xMes,candidate_axis,Hsub_true,0.000578745379319344
PM_F1,Hsub_xMes,candidate_axis,x_Mes,0.600641236575123
PM_F1,Hsub_P_xMes,candidate_axis,Intercept,0.456235214127903
PM_F1,Hsub_P_xMes,candidate_axis,Hsub_true,0.000559366257452104
PM_F1,Hsub_P_xMes,candidate_axis,P_MPa,0.0249637344991912
PM_F1,Hsub_P_xMes,candidate_axis,x_Mes,0.653151927046449
PM_F1,Hsub_LD_P_xMes,candidate_diagnostic_LD,Intercept,0.443031216701554
PM_F1,Hsub_LD_P_xMes,candidate_diagnostic_LD,Hsub_true,0.000132442291152738
PM_F1,Hsub_LD_P_xMes,candidate_diagnostic_LD,LD,0.00144687774493235
PM_F1,Hsub_LD_P_xMes,candidate_diagnostic_LD,P_MPa,0.02985864178374
PM_F1,Hsub_LD_P_xMes,candidate_diagnostic_LD,x_Mes,-0.263672715440322
PM_F1,Hsub_T12dummy,table_diagnostic,Intercept,0.828741707621119
PM_F1,Hsub_T12dummy,table_diagnostic,Hsub_true,0.000477163368666221
PM_F1,Hsub_T12dummy,table_diagnostic,isT12,0.0893304630586986
PM_F1,Hsub_LD_T12dummy,table_diagnostic,Intercept,0.837729260251219
PM_F1,Hsub_LD_T12dummy,table_diagnostic,Hsub_true,0.000237593416984843
PM_F1,Hsub_LD_T12dummy,table_diagnostic,LD,0.00110909472619977
PM_F1,Hsub_LD_T12dummy,table_diagnostic,isT12,0.114438671641482
PM_F1,Hsub_qM_DIAG_ONLY,diagnostic_only_not_for_correction,Intercept,1.0342556791242
PM_F1,Hsub_qM_DIAG_ONLY,diagnostic_only_not_for_correction,Hsub_true,0.00052092767131583
PM_F1,Hsub_qM_DIAG_ONLY,diagnostic_only_not_for_correction,qM_MW_m2,-0.053709021336028
PM_F1,Hsub_P_xMes_qM_DIAG_ONLY,diagnostic_only_not_for_correction,Intercept,0.907531397018585
PM_F1,Hsub_P_xMes_qM_DIAG_ONLY,diagnostic_only_not_for_correction,Hsub_true,0.000429270431830002
PM_F1,Hsub_P_xMes_qM_DIAG_ONLY,diagnostic_only_not_for_correction,P_MPa,0.0178849457011343
PM_F1,Hsub_P_xMes_qM_DIAG_ONLY,diagnostic_only_not_for_correction,x_Mes,-0.632753240631089
PM_F1,Hsub_P_xMes_qM_DIAG_ONLY,diagnostic_only_not_for_correction,qM_MW_m2,-0.0773187308748635
PM_F1,Hsub_LD_P_xMes_qM_DIAG_ONLY,diagnostic_only_not_for_correction,Intercept,0.942975069008644
PM_F1,Hsub_LD_P_xMes_qM_DIAG_ONLY,diagnostic_only_not_for_correction,Hsub_true,0.000502088991381184
PM_F1,Hsub_LD_P_xMes_qM_DIAG_ONLY,diagnostic_only_not_for_correction,LD,-0.000278928326435572
PM_F1,Hsub_LD_P_xMes_qM_DIAG_ONLY,diagnostic_only_not_for_correction,P_MPa,0.0164252844279999
PM_F1,Hsub_LD_P_xMes_qM_DIAG_ONLY,diagnostic_only_not_for_correction,x_Mes,-0.549747112248591
PM_F1,Hsub_LD_P_xMes_qM_DIAG_ONLY,diagnostic_only_not_for_correction,qM_MW_m2,-0.0829550471641588
