TableNo,Model,N_short,N_long,Mean_resid_short,Mean_resid_long,Delta_long_minus_short,SD_short,SD_long,SE_short,SE_long,SE_delta,CI95_low,CI95_high,Mean_P_all,Mean_P_short,Mean_P_long
9,Hsub_linear,21,9,-0.00381471469138109,-0.132180266339034,-0.128365551647653,0.111098511344628,0.032640288310987,0.0242436827539842,0.0108800961036623,0.0265731564685259,-0.180448938325964,-0.0762821649693424,12.0658252630446,12.0658252630446,12.0658252630446
9,Hsub_quad,21,9,0.0344644512706969,-0.152807997680294,-0.187272448950991,0.0968905154896547,0.0327342029427743,0.0211432438740302,0.0109114009809248,0.0237927600938445,-0.233906258734926,-0.140638639167055,12.0658252630446,12.0658252630446,12.0658252630446
9,Hsub_cubic,21,9,0.0113410854139526,-0.0239514326218501,-0.0352925180358026,0.0640262934271112,0.0337116483259447,0.0139716826712948,0.0112372161086482,0.0179299454137435,-0.0704352110467399,-0.000149825024865359,12.0658252630446,12.0658252630446,12.0658252630446
9,Hsub_P,21,9,0.0464902161438581,-0.0621461422129288,-0.108636358356787,0.108639204912698,0.0326388628991383,0.0237070180929646,0.0108796209663794,0.0260842645905963,-0.159761516954356,-0.0575111997592182,12.0658252630446,12.0658252630446,12.0658252630446
9,Hsub_LD,21,9,0.0205901485436483,-0.214853719043116,-0.235443867586764,0.0901438784265025,0.0326591033326065,0.0196710069679212,0.0108863677775355,0.02248247136148,-0.279509511455265,-0.191378223718264,12.0658252630446,12.0658252630446,12.0658252630446
9,Hsub_T12dummy,21,9,0.0098708743489517,-0.0981634426192241,-0.108034316968176,0.108564409925718,0.0326388338003906,0.0236906964887057,0.0108796112667969,0.0260694273323483,-0.159130394539578,-0.0569382393967732,12.0658252630446,12.0658252630446,12.0658252630446
9,Hsub_LD_T12dummy,21,9,0.0412522627418092,-0.181878547284132,-0.223130810025941,0.0846510042474441,0.0326769208229406,0.0184723635532353,0.0108923069409802,0.0214445929254771,-0.265162212159876,-0.181099407892006,12.0658252630446,12.0658252630446,12.0658252630446
9,Hsub_qM_DIAG_ONLY,21,9,0.0309652789796037,-0.207166749664169,-0.238132028643773,0.0780567799981857,0.0153789427431968,0.0170333858498191,0.00512631424773226,0.0177880671034073,-0.272996640166451,-0.203267417121095,12.0658252630446,12.0658252630446,12.0658252630446
11,Hsub_linear,21,9,-0.00855660607789852,0.0652937430831214,0.0738503491610199,0.108451796695397,0.0508397291079647,0.0236661222671722,0.0169465763693216,0.0291079335200215,0.0167987994617777,0.130901898860262,15.5132039096288,15.5132039096288,15.5132039096288
11,Hsub_quad,21,9,0.0361323938959927,0.00260198362593253,-0.0335304102700602,0.100889669336236,0.0500518735953733,0.0220159307891604,0.0166839578651244,0.0276234621030447,-0.0876723959920279,0.0206115754519075,15.5132039096288,15.5132039096288,15.5132039096288
11,Hsub_cubic,21,9,0.0314806781554342,-0.0105651850654229,-0.0420458632208571,0.0780443553837197,0.0475229255325471,0.0170306745766633,0.0158409751775157,0.0232589847394695,-0.0876334733102173,0.00354174686850311,15.5132039096288,15.5132039096288,15.5132039096288
11,Hsub_P,21,9,-0.0343103827106135,0.0611072510435738,0.0954176337541873,0.106486105425805,0.0508933633649697,0.0232371732654666,0.0169644544549899,0.0287708000640361,0.0390268656286765,0.151808401879698,15.5132039096288,15.5132039096288,15.5132039096288
11,Hsub_LD,21,9,0.0264216459031937,0.0093496891606903,-0.0170719567425034,0.0928273864794116,0.0513188312430063,0.0202565964336583,0.0171062770810021,0.0265132875111352,-0.0690380002643283,0.0348940867793215,15.5132039096288,15.5132039096288,15.5132039096288
11,Hsub_T12dummy,21,9,0.0063686401174028,0.102444405087277,0.0960757649698744,0.106426778217699,0.0508950035848937,0.0232242270072802,0.0169650011949646,0.0287606673363264,0.0397048569906747,0.152446672949074,15.5132039096288,15.5132039096288,15.5132039096288
11,Hsub_LD_T12dummy,21,9,0.0500278767346202,0.049767552136296,-0.000260324598324153,0.0892731500187365,0.0514552868611447,0.0194809984518099,0.0171517622870482,0.0259555822556696,-0.0511332658194366,0.0506126166227883,15.5132039096288,15.5132039096288,15.5132039096288
11,Hsub_qM_DIAG_ONLY,21,9,0.0277212533225603,-0.0125357826830232,-0.0402570360055835,0.0661912306140254,0.0219123479954245,0.0144441106967167,0.00730411599847483,0.0161858717509494,-0.0719813446374443,-0.00853272737372276,15.5132039096288,15.5132039096288,15.5132039096288
12,Hsub_linear,21,9,-0.00600228686930468,0.236314016941445,0.242316303810749,0.113526073352559,0.0967227444037206,0.0247734202137719,0.0322409148012402,0.0406595491405027,0.162623587495364,0.322009020126135,17.2368932329209,17.2368932329209,17.2368932329209
12,Hsub_quad,21,9,0.0419138752907938,0.147371700708761,0.105457825417967,0.108452936339239,0.096428580982713,0.0236663709578472,0.032142860327571,0.0399156684066817,0.0272231153408713,0.183692535495064,17.2368932329209,17.2368932329209,17.2368932329209
