Index,VariableName
1,No_TableNo
2,source_row_in_tm_noF1
3,data_origin_noF1
4,TableNo
5,P_Pa
6,P_MPa
7,G
8,DH
9,L
10,LD_geom
11,LD_band
12,P_band_v6
13,Ts
14,Tin
15,Tsub
16,Tsub2
17,CPL
18,Hsub_proxy_kJkg
19,x_Mes
20,qM
21,qP_noF1
22,PM_noF1
23,source_row_in_tm_F1
24,data_origin_F1
25,qP_F1
26,PM_F1
27,dPM
28,dPM_percent
29,Hsub_true_kJkg
30,Hsub_true_BTUlb
31,Hsub_source
32,Hsub_proxy_minus_true_kJkg
33,Hsub_proxy_over_true
34,P_scope
35,resid_scope_HsubOnly
36,resid_scope_Hsub_LD
37,pred_scope_HsubOnly
38,pred_scope_Hsub_LD
39,resid_combined_HsubOnly
40,resid_combined_Hsub_LD
41,SourceID
42,qM_MW_m2
43,xeq_v16
44,xMes_v16
