Metric,Value
has_xeq,false
x_eq_column,NOT_FOUND
R2_source01_Hsub_linear,0.77543
R2_source01_Hsub_quad,0.8212
R2_source01_Hsub_cubic,0.89635
R2_source01_Hsub_LD,0.81585
R2_source01_Hsub_P_xeq,
R2_source01_Hsub_LD_P_xeq,
T9_delta_Hsub_linear,-0.12837
T11_delta_Hsub_linear,0.07385
T12_delta_Hsub_linear,0.24232
T12_SE_delta_Hsub_linear,0.04066
T12_CI95_low_Hsub_linear,0.16262
T12_CI95_high_Hsub_linear,0.32201
T9_delta_Hsub_quad,-0.18727
T11_delta_Hsub_quad,-0.03353
T12_delta_Hsub_quad,0.10546
T9_delta_Hsub_P_xeq,
T11_delta_Hsub_P_xeq,
T12_delta_Hsub_P_xeq,
T8middle_minus_T9all_resid_Hsub,-0.25371
T8middle_minus_T9all_resid_Hsub_P_xeq,
