row_No_M,key,TableNo,ExptNo,tmA_No_TableNo,tmB_P_Pa,tmN_G_kg_m2s,tmQ_DH_m,tmR_L_DNB_m,tmBR_L_m,tmT_Tin_K,tmBE_qM_W_m2,tmBH_x_Mes,seed_tmS_q_in_W_m2,seed_tmX_f,seed_tmAC_Tw,seed_tmAG_y_star,seed_tmAP_UB,const_tmV_fbeta,const_tmBG_Fform,const_tmBI_Acorr,const_tmBJ_sigcorr,const_tmBK_Fcorr,const_tmBQ_F2,QA_Pressure_MPa,QA_Hsub_kJ_kg,QA_Tsat_K_IF97,QA_hf_sat_kJ_kg,QA_h_in_kJ_kg,QA_Tsub_K,QA_IF97_region,QA_Tin_lt_Tsat,prov_D_mm,prov_L_mm,prov_qCHF_MW_m2
1,T9_1.01,9,1.01,1.01_9,12065825.263044,2305.591,0.0019049999999999998,0.15239999999999998,0.15239999999999998,509.7452442783972,3217681.8,-0.021,3217681.8,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,12.065825263044,471.2476,598.247237169232,1493.9908817339422,1022.7432817339422,88.5019928908348,1,True,1.9049999999999998,152.39999999999998,3.2176818
2,T9_10.01,9,10.01,10.01_9,12065825.263044,2590.3993,0.0019049999999999998,0.15239999999999998,0.15239999999999998,490.87515158353324,3974783.4,-0.056,3974783.4,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,12.065825263044,557.7748,598.247237169232,1493.9908817339422,936.2160817339421,107.37208558569876,1,True,1.9049999999999998,152.39999999999998,3.9747833999999997
3,T9_11.01,9,11.01,11.01_9,12065825.263044,3200.7028,0.0019049999999999998,0.15239999999999998,0.15239999999999998,453.6479059071286,6561547.199999999,-0.056,6561547.199999999,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,12.065825263044,722.9208000000001,598.247237169232,1493.9908817339422,771.0700817339421,144.59933126210342,1,True,1.9049999999999998,152.39999999999998,6.5615472
4,T9_12.01,9,12.01,12.01_9,12065825.263044,3200.7028,0.0019049999999999998,0.15239999999999998,0.15239999999999998,488.66227888856537,5205073.499999999,-0.04,5205073.499999999,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,12.065825263044,567.7766,598.247237169232,1493.9908817339422,926.2142817339421,109.58495828066663,1,True,1.9049999999999998,152.39999999999998,5.205073499999999
5,T9_13.01,9,13.01,13.01_9,12065825.263044,3200.7028,0.0019049999999999998,0.15239999999999998,0.15239999999999998,487.01157338751943,5394348.899999999,-0.03,5394348.899999999,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,12.065825263044,575.2198000000001,598.247237169232,1493.9908817339422,918.7710817339421,111.23566378171256,1,True,1.9049999999999998,152.39999999999998,5.3943489
6,T9_14.01,9,14.01,14.01_9,12065825.263044,3200.7028,0.0019049999999999998,0.15239999999999998,0.15239999999999998,526.4501263441665,3974783.4,0.004,3974783.4,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,12.065825263044,392.39619999999996,598.247237169232,1493.9908817339422,1101.5946817339423,71.79711082506549,1,True,1.9049999999999998,152.39999999999998,3.9747833999999997
7,T9_15.01,9,15.01,15.01_9,12065825.263044,3214.2651,0.0019049999999999998,0.15239999999999998,0.15239999999999998,487.5277735726572,5425894.799999999,-0.028,5425894.799999999,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,12.065825263044,572.8938,598.247237169232,1493.9908817339422,921.0970817339421,110.71946359657477,1,True,1.9049999999999998,152.39999999999998,5.425894799999999
8,T9_16.01,9,16.01,16.01_9,12065825.263044,3254.9519999999998,0.0019049999999999998,0.15239999999999998,0.15239999999999998,458.12079612380074,6624639.0,-0.044,6624639.0,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,12.065825263044,703.3824,598.247237169232,1493.9908817339422,790.6084817339422,140.12644104543125,1,True,1.9049999999999998,152.39999999999998,6.624639
9,T9_17.01,9,17.01,17.01_9,12065825.263044,3295.6389000000004,0.0019049999999999998,0.15239999999999998,0.15239999999999998,522.6040750322771,4037875.2,-0.016,4037875.2,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,12.065825263044,410.7716,598.247237169232,1493.9908817339422,1083.2192817339421,75.64316213695486,1,True,1.9049999999999998,152.39999999999998,4.0378752
10,T9_18.01,9,18.01,18.01_9,12065825.263044,3811.0063,0.0019049999999999998,0.15239999999999998,0.15239999999999998,535.4768909183393,4053648.15,-0.007,4053648.15,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,12.065825263044,348.66740000000004,598.247237169232,1493.9908817339422,1145.3234817339421,62.77034625089266,1,True,1.9049999999999998,152.39999999999998,4.05364815
